config_id,asset,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pior_ano_pf_net6,max_dd_bps
WIN_M5_F1_ema9x21,WIN,M5,F1,discovery,898,0.2650334075723831,1.0075568242447017,0.8772875589575844,0.769261250173765,0.6785637958546039,0.10595659477790272,-5.894043405222097,19.687082405345212,0.6451865533532991,0.6112946581319506,5386.25101241006
WIN_M5_F1_ema9x21,WIN,M5,F1,confirm,856,0.2371495327102804,0.8144843260635601,0.6762573688368435,0.5675912059918687,0.4807321038837519,-2.0523508888898587,-8.052350888889858,19.54088785046729,0.45769411591430814,0.4807321038837519,6878.225533626675
WIN_M5_F1_ema9x50,WIN,M5,F1,discovery,543,0.27440147329650094,0.9604708416838349,0.8580093618661622,0.7698739424411654,0.6935835448223001,-0.6950364682406294,-6.69503646824063,27.197053406998158,0.648970740158461,0.5089880986690186,3728.8048367752745
WIN_M5_F1_ema9x50,WIN,M5,F1,confirm,482,0.2925311203319502,0.9950976042272696,0.8579391290848917,0.7446691348370106,0.6499389728871625,-0.06453053065008467,-6.064530530650083,30.946058091286307,0.6067373631561138,0.6499389728871625,2995.4428468505644
WIN_M5_F1_ema9x100,WIN,M5,F1,discovery,410,0.2804878048780488,0.9550739637803259,0.863628439263572,0.7836380648837158,0.7133038855739764,-0.888928038103105,-6.888928038103105,31.66829268292683,0.6580783685860672,0.691983858399475,3084.767074869951
WIN_M5_F1_ema9x100,WIN,M5,F1,confirm,389,0.2930591259640103,1.0197064101244366,0.888086232099883,0.7783170829756103,0.6856068448819772,0.27647335426707126,-5.723526645732929,34.455012853470436,0.6366054308522007,0.6856068448819772,2684.191089225221
WIN_M5_F1_ema21x50,WIN,M5,F1,discovery,380,0.3078947368421053,0.8321256623844273,0.7601475991427418,0.6957071224552245,0.6379735289444586,-3.9297029135404715,-9.929702913540472,36.60263157894737,0.5876986243788535,0.3441559065836352,3866.6871416659956
WIN_M5_F1_ema21x50,WIN,M5,F1,confirm,380,0.3131578947368421,0.9232785778683044,0.8098524177594789,0.7132333724544254,0.6303842090764802,-1.1876488206321558,-7.187648820632156,37.98684210526316,0.5846699561158336,0.6303842090764802,2890.591456385267
WIN_M5_F1_ema21x100,WIN,M5,F1,discovery,281,0.3736654804270463,1.0368269315340721,0.9485984554067095,0.8691686141324684,0.7974351029580045,0.8090151603710307,-5.190984839628969,41.4270462633452,0.7467251589990841,0.7833925067571965,1892.8405354782751
WIN_M5_F1_ema21x100,WIN,M5,F1,confirm,287,0.3310104529616725,1.0097064746480984,0.9039340483292436,0.8118510044952855,0.731063140094379,0.17201758671139228,-5.827982413288607,44.48432055749129,0.6828584993062896,0.731063140094379,2201.032028552752
WIN_M5_F2_macd_cross,WIN,M5,F2,discovery,1508,0.2957559681697613,0.9943356893909534,0.8495736754068451,0.7307127377726089,0.6322318080280309,-0.07058601752170089,-6.070586017521701,13.183023872679046,0.6160493759046273,0.624962726752583,9465.263697781473
WIN_M5_F2_macd_cross,WIN,M5,F2,confirm,1443,0.2702702702702703,0.8673403386688796,0.7004263752971859,0.572136882088876,0.4716911534926068,-1.2716155259429502,-7.271615525942949,13.303534303534304,0.4569702638681704,0.4716911534926068,10497.068226151667
WIN_M5_F2_macd_cross_zerofilter,WIN,M5,F2,discovery,532,0.2744360902255639,1.1149037790238663,0.9298850089232331,0.7836994445055349,0.6667194994785519,1.1842040319635019,-4.815795968036499,8.451127819548873,0.6150518944191247,0.6478741036668051,2798.1702520571603
WIN_M5_F2_macd_cross_zerofilter,WIN,M5,F2,confirm,520,0.25,0.9178215371567348,0.7186039907643503,0.5720190894241383,0.4613776939601782,-0.6679689616499943,-6.667968961649994,8.415384615384616,0.42265678920665417,0.4613776939601782,3537.3429414271122
WIN_M5_F3a_bb20_mr,WIN,M5,F3a,discovery,794,0.6032745591939547,1.1383781433059519,0.9848217581905544,0.8460074748367672,0.7212416821305437,1.7931742682262608,-4.206825731773739,14.154911838790932,0.708717104383915,0.7155600148256008,3406.134868790978
WIN_M5_F3a_bb20_mr,WIN,M5,F3a,confirm,719,0.564673157162726,1.1161383485541063,0.9157092048413061,0.7417634015313391,0.5925926195942159,1.125264498280899,-4.8747355017191,14.749652294853965,0.5671529460523328,0.5925926195942159,3561.3507972164753
WIN_M5_F3b_bb20_breakout,WIN,M5,F3b,discovery,794,0.25692695214105793,0.8784427265055446,0.7646744873483032,0.6696327606017916,0.5899029287036017,-1.7931742682262608,-7.793174268226261,14.154911838790932,0.5604754924522024,0.5872963318915793,6265.113765786997
WIN_M5_F3b_bb20_breakout,WIN,M5,F3b,confirm,719,0.26286509040333794,0.8959462787883268,0.7438331106982271,0.6237076581687604,0.5273428236782374,-1.125264498280899,-7.1252644982809,14.749652294853965,0.5010393511101269,0.5273428236782374,5185.461511539745
WIN_M5_F4a_rsi14_70_30,WIN,M5,F4a,discovery,318,0.5691823899371069,0.9915233671942731,0.8815940952729107,0.7805967368014675,0.6883326812494253,-0.14759895751226898,-6.14759895751227,24.0125786163522,0.6617574529262057,0.6710169335666464,2212.553827620093
WIN_M5_F4a_rsi14_70_30,WIN,M5,F4a,confirm,288,0.4930555555555556,0.8136450392162282,0.703399677878111,0.6046319711872051,0.517539845471068,-2.97849147468058,-8.97849147468058,25.54861111111111,0.47670525752596565,0.517539845471068,2815.428537756719
WIN_M5_F4b_rsi2_connors,WIN,M5,F4b,discovery,2055,0.4535279805352798,1.093767127116586,0.8207529614983224,0.60280036663769,0.43443274886111527,0.6403122900957111,-5.359687709904289,4.180048661800487,0.4274725749893601,0.4247196282980425,11036.570272195193
WIN_M5_F4b_rsi2_connors,WIN,M5,F4b,confirm,1967,0.373157092018302,1.0833846050411113,0.7347477055049635,0.4805364199062543,0.3051298821219272,0.4283072058617809,-5.571692794138219,4.409252669039146,0.29301871741714836,0.3051298821219272,10995.804772137106
WIN_M5_F4c_rsi14_cross50,WIN,M5,F4c,discovery,2509,0.1490633718612993,0.8796073072147059,0.690666848797931,0.5579886881571812,0.46068199134700744,-0.9554792616924265,-6.955479261692427,7.577122359505779,0.44575931427805393,0.4557936361559911,17742.42758253194
WIN_M5_F4c_rsi14_cross50,WIN,M5,F4c,confirm,2253,0.14957833999112294,0.868787702476885,0.6271091646128891,0.4741445845967102,0.3702626390796359,-0.7628920333865676,-6.762892033386567,8.088326675543719,0.35797351365715324,0.3702626390796359,15228.319593754099
WIN_M5_F5a_vwap_cross,WIN,M5,F5a,discovery,1974,0.13829787234042554,0.876426939412158,0.7248891878946362,0.6114655227662565,0.5238918904431615,-1.2571193319111578,-7.257119331911158,11.487335359675786,0.5035667087561592,0.5044614729378535,14533.25830970286
WIN_M5_F5a_vwap_cross,WIN,M5,F5a,confirm,1552,0.15206185567010308,1.0340808462369808,0.8010334890446712,0.6419459884468619,0.5273129385805407,0.2449527375766182,-5.755047262423383,14.012886597938145,0.5055565173064318,0.5273129385805407,8949.292355681415
WIN_M5_F5b_vwap_stretch_k1.0,WIN,M5,F5b,discovery,1091,0.6516956920256646,1.043208122154495,0.8965433141104782,0.7622838075189451,0.6402476297487216,0.5719088178630309,-5.428091182136969,17.272227314390467,0.6300140597890734,0.6303453704193566,6120.893483608467
WIN_M5_F5b_vwap_stretch_k1.0,WIN,M5,F5b,confirm,990,0.6181818181818182,0.9791176219039809,0.799234027862435,0.6398150390419801,0.4997859965424528,-0.21881849106581955,-6.218818491065819,19.666666666666668,0.4795225327479268,0.4997859965424528,6207.629498708189
WIN_M5_F5b_vwap_stretch_k1.5,WIN,M5,F5b,discovery,702,0.6524216524216524,0.9848806504023879,0.8697482089682981,0.7628934008596193,0.6639547262171918,-0.2521700717626336,-6.252170071762634,23.5,0.6510566398616053,0.6595091028095915,4567.761890148538
