year,off,on
2000,-2.208,-2.323
2001,23.378,20.811
2002,5.285,0.58
2003,22.522,22.011
2004,21.211,30.254
2005,28.347,22.831
2006,17.749,13.236
2007,26.066,31.332
2008,23.917,3.024
2009,18.159,15.649
2010,11.005,17.137
2011,1.821,12.748
2012,-1.32,0.986
2013,-10.113,-3.82
2014,7.178,0.678
2015,30.093,27.038
2016,14.091,4.837
2017,2.958,3.97
2018,10.35,11.94
2019,-12.534,-13.014
2020,44.828,40.431
2021,-14.061,-10.421
2022,-11.391,-7.671
2023,14.306,10.609
2024,5.146,2.203
