gate_diff,vol_filter,window,cost_bps_rt,n_obs,net_ann_pct,sharpe,maxdd_pct,pf,monthly_mean_pct,n_trades
>4pp,median252,DISCOVERY,1.0,4699,5.151197475277636,0.6747441047277077,-18.397253281601134,2.2320158253331153,0.4532729235150576,84
>4pp,median252,DISCOVERY,1.5,4699,5.127518836728506,0.6718952643393009,-18.499193365294285,2.228275291889821,0.4514298278675363,84
>4pp,median252,DISCOVERY,2.0,4699,5.103844938564994,0.6690458556067697,-18.60100864689712,2.2245425663799328,0.44958680644795773,84
>4pp,median252,CONFIRM,1.0,1492,-0.9694828421726642,-0.12032568193034675,-12.711150588778498,0.8684730870178278,-0.06292000027056995,24
>4pp,median252,CONFIRM,1.5,1492,-0.9895624421159432,-0.1234921044690604,-12.724259421351636,0.8666984798454183,-0.06458262494194948,24
>4pp,median252,CONFIRM,2.0,1492,-1.0096384728175978,-0.1266582480114208,-12.737366613347156,0.864927165047995,-0.06624512302783804,24
>4pp,median252,real-check,1.0,863,-1.0595594437977196,-0.07041604298817244,-14.376949530636685,0.9373889853687578,-0.05737197978804671,24
>4pp,median252,real-check,1.5,863,-1.0942035512008563,-0.07424066445662274,-14.389801561579564,0.9356122315726496,-0.060222265528472214,24
>4pp,median252,real-check,2.0,863,-1.1288363931588385,-0.07806540681708972,-14.402651984910564,0.9338389491026651,-0.06307233467748201,24
>4pp,p75_252,DISCOVERY,1.0,4699,6.799871614684183,0.6945326873822872,-44.42359753308433,2.2296023929656905,0.6036641791685448,82
>4pp,p75_252,DISCOVERY,1.5,4699,6.776404549054549,0.6923880307320756,-44.46955854381331,2.227097949677242,0.6018670008142163,82
>4pp,p75_252,DISCOVERY,2.0,4699,6.7529420536174944,0.6902429925130957,-44.515482696263255,2.2245968366320383,0.6000699218081188,82
>4pp,p75_252,CONFIRM,1.0,1492,-1.237423772916757,-0.11019115022620957,-19.8723841839346,0.7996588760041062,-0.07854181228987953,23
>4pp,p75_252,CONFIRM,1.5,1492,-1.2566134556330488,-0.11255031975199829,-19.89844605558695,0.7979464862275119,-0.08013205631575535,23
>4pp,p75_252,CONFIRM,2.0,1492,-1.275799889608975,-0.11490935998519664,-19.924500102367215,0.7962374263807072,-0.08172213843210972,23
>4pp,p75_252,real-check,1.0,863,-2.983841593347336,-0.18607070272956533,-21.460886518617095,0.7385340725752714,-0.20204150975758153,23
