date,level,direction,entry_price,exit_price,exit_reason,gross_bps,net_bps_1.0,net_bps_1.5,net_bps_2.0
2021-07-20,PDH,short,125190.0,124939.62,tp,20.000000000000373,19.000000000000373,18.500000000000373,18.000000000000373
2021-07-21,PDH,short,126060.0,125807.88,tp,19.99999999999963,18.99999999999963,18.49999999999963,17.99999999999963
2021-07-22,PDH,short,126510.0,126256.98,tp,20.00000000000032,19.00000000000032,18.50000000000032,18.00000000000032
2021-07-23,PDH,short,126820.0,126566.36,tp,19.999999999999954,18.999999999999954,18.499999999999954,17.999999999999954
2021-07-23,PDL,long,125690.0,125375.77500000001,stop,-24.999999999999307,-25.999999999999307,-26.499999999999307,-26.999999999999307
2021-07-27,PDL,long,125015.0,125265.03,tp,19.999999999999904,18.999999999999904,18.499999999999904,17.999999999999904
2021-07-28,PDH,short,125955.0,126269.8875,stop,-24.99999999999977,-25.99999999999977,-26.49999999999977,-26.99999999999977
2021-07-29,PDH,short,127060.0,126805.88,tp,19.99999999999963,18.99999999999963,18.49999999999963,17.99999999999963
2021-07-29,PDL,long,125240.0,125490.48,tp,19.999999999999677,18.999999999999677,18.499999999999677,17.999999999999677
2021-07-30,PDL,long,125140.0,124827.15000000001,stop,-24.999999999999304,-25.999999999999304,-26.499999999999304,-26.999999999999304
2021-08-03,PDL,long,121985.0,122228.97,tp,20.000000000000096,19.000000000000096,18.500000000000096,18.000000000000096
2021-08-09,PDH,short,123470.0,123223.06,tp,20.00000000000019,19.00000000000019,18.50000000000019,18.00000000000019
2021-08-10,PDL,long,122160.0,122404.32,tp,20.000000000000572,19.000000000000572,18.500000000000572,18.000000000000572
2021-08-11,PDL,long,122150.0,122394.3,tp,20.000000000000238,19.000000000000238,18.500000000000238,18.000000000000238
2021-08-12,PDL,long,120855.0,120552.8625,stop,-24.99999999999976,-25.99999999999976,-26.49999999999976,-26.99999999999976
2021-08-13,PDL,long,120370.0,120069.07500000001,stop,-24.999999999999034,-25.999999999999034,-26.499999999999034,-26.999999999999034
2021-08-16,PDL,long,119940.0,120179.88,tp,20.000000000000387,19.000000000000387,18.500000000000387,18.000000000000387
2021-08-17,PDL,long,118700.0,118937.4,tp,19.99999999999951,18.99999999999951,18.49999999999951,17.99999999999951
2021-08-18,PDH,short,119340.0,119101.32,tp,19.999999999999414,18.999999999999414,18.499999999999414,17.999999999999414
2021-08-19,PDL,long,116470.0,116178.82500000001,stop,-24.999999999998998,-25.999999999998998,-26.499999999998998,-26.999999999998998
2021-08-20,PDH,short,118415.0,118711.03749999999,stop,-24.999999999999265,-25.999999999999265,-26.499999999999265,-26.999999999999265
2021-08-23,PDH,short,119160.0,118921.68,tp,20.000000000000586,19.000000000000586,18.500000000000586,18.000000000000586
2021-08-24,PDH,short,119595.0,119893.98749999999,stop,-24.999999999999023,-25.999999999999023,-26.499999999999023,-26.999999999999023
2021-08-25,PDH,short,121275.0,121032.45,tp,20.000000000000238,19.000000000000238,18.500000000000238,18.000000000000238
2021-08-26,PDL,long,119845.0,119545.38750000001,stop,-24.99999999999903,-25.99999999999903,-26.49999999999903,-26.99999999999903
2021-08-31,PDL,long,119900.0,120139.8,tp,20.00000000000024,19.00000000000024,18.50000000000024,18.00000000000024
2021-09-02,PDL,long,118625.0,118862.25,tp,20.0,19.0,18.5,18.0
2021-09-03,PDL,long,116920.0,117153.84,tp,19.9999999999997,18.9999999999997,18.4999999999997,17.9999999999997
2021-09-06,PDH,short,118350.0,118113.3,tp,19.999999999999755,18.999999999999755,18.499999999999755,17.999999999999755
2021-09-08,PDL,long,116530.0,116763.06,tp,19.9999999999998,18.9999999999998,18.4999999999998,17.9999999999998
2021-09-09,PDL,long,113570.0,113797.14,tp,19.999999999999947,18.999999999999947,18.499999999999947,17.999999999999947
2021-09-10,PDH,short,117245.0,117010.51,tp,20.000000000000448,19.000000000000448,18.500000000000448,18.000000000000448
2021-09-14,PDH,short,117585.0,117349.83,tp,19.999999999999854,18.999999999999854,18.499999999999854,17.999999999999854
2021-09-15,PDL,long,115980.0,116211.96,tp,20.00000000000055,19.00000000000055,18.50000000000055,18.00000000000055
2021-09-16,PDL,long,115105.0,114817.2375,stop,-24.999999999999748,-25.999999999999748,-26.499999999999748,-26.999999999999748
2021-09-17,PDL,long,113705.0,113932.41,tp,20.00000000000031,19.00000000000031,18.50000000000031,18.00000000000031
2021-09-21,PDH,short,110165.0,110440.41249999999,stop,-24.999999999999208,-25.999999999999208,-26.499999999999208,-26.999999999999208
2021-09-23,PDH,short,113605.0,113889.0125,stop,-24.999999999999744,-25.999999999999744,-26.499999999999744,-26.999999999999744
2021-09-24,PDL,long,112670.0,112895.34,tp,19.999999999999687,18.999999999999687,18.499999999999687,17.999999999999687
2021-09-27,PDH,short,113820.0,114104.54999999999,stop,-24.999999999998977,-25.999999999998977,-26.499999999998977,-26.999999999998977
2021-09-27,PDL,long,112655.0,112373.3625,stop,-24.99999999999974,-25.99999999999974,-26.49999999999974,-26.99999999999974
2021-09-28,PDL,long,112355.0,112579.71,tp,20.00000000000057,19.00000000000057,18.50000000000057,18.00000000000057
2021-09-30,PDH,short,112195.0,111970.61,tp,19.999999999999947,18.999999999999947,18.499999999999947,17.999999999999947
2021-10-01,PDH,short,112515.0,112796.28749999999,stop,-24.999999999999226,-25.999999999999226,-26.499999999999226,-26.999999999999226
2021-10-04,PDL,long,110930.0,111151.86,tp,20.000000000000053,19.000000000000053,18.500000000000053,18.000000000000053
2021-10-06,PDL,long,110060.0,110280.12,tp,19.999999999999574,18.999999999999574,18.499999999999574,17.999999999999574
2021-10-07,PDH,short,110790.0,111066.97499999999,stop,-24.99999999999921,-25.99999999999921,-26.49999999999921,-26.99999999999921
2021-10-08,PDH,short,111765.0,111541.47,tp,19.999999999999897,18.999999999999897,18.499999999999897,17.999999999999897
2021-10-13,PDH,short,113960.0,113732.08,tp,19.999999999999847,18.999999999999847,18.499999999999847,17.999999999999847
2021-10-14,PDH,short,115440.0,115209.12,tp,20.000000000000405,19.000000000000405,18.500000000000405,18.000000000000405
2021-10-15,PDH,short,115530.0,115298.94,tp,19.999999999999797,18.999999999999797,18.499999999999797,17.999999999999797
2021-10-18,PDL,long,114110.0,114338.22,tp,20.0000000000001,19.0000000000001,18.5000000000001,18.0000000000001
2021-10-18,PDH,short,115940.0,115708.12,tp,20.000000000000405,19.000000000000405,18.500000000000405,18.000000000000405
2021-10-19,PDL,long,113750.0,113977.5,tp,20.0,19.0,18.5,18.0
2021-10-20,PDL,long,110880.0,111101.76,tp,19.999999999999527,18.999999999999527,18.499999999999527,17.999999999999527
2021-10-21,PDL,long,109835.0,109560.4125,stop,-24.99999999999947,-25.99999999999947,-26.49999999999947,-26.99999999999947
2021-10-22,PDL,long,106595.0,106808.19,tp,20.000000000000217,19.000000000000217,18.500000000000217,18.000000000000217
2021-10-25,PDH,short,108865.0,108647.27,tp,19.999999999999627,18.999999999999627,18.499999999999627,17.999999999999627
2021-10-26,PDL,long,107255.0,107469.51,tp,19.99999999999951,18.99999999999951,18.49999999999951,17.99999999999951
