market,levels_source,x_bps,h_days,side,rt_cost_bps,n_trades,win_rate,pf,expectancy_bps,ci_lo_bps,ci_hi_bps,sharpe,maxdd_pct,net_ann_pct,monthly_mean_pct
WIN,N_D1,5,1,long_sweep_low,1.0,183,41.53,0.616,-24.813,-43.796,-4.586,-1.363,-37.49,-12.3,-1.081
WIN,N_D1,5,1,long_sweep_low,1.5,183,41.53,0.61,-25.313,-43.248,-6.943,-1.39,-38.06,-12.52,-1.103
WIN,N_D1,5,1,long_sweep_low,2.0,183,41.53,0.604,-25.813,-45.546,-6.986,-1.417,-38.62,-12.75,-1.125
WIN,N_D1,5,1,short_sweep_high,1.0,163,48.47,0.888,-6.11,-26.183,14.508,-0.314,-17.79,-3.12,-0.237
WIN,N_D1,5,1,short_sweep_high,1.5,163,48.47,0.88,-6.61,-25.856,13.173,-0.34,-18.01,-3.34,-0.257
WIN,N_D1,5,1,short_sweep_high,2.0,163,48.47,0.871,-7.11,-26.744,10.667,-0.366,-18.22,-3.56,-0.276
WIN,N_D1,5,3,long_sweep_low,1.0,182,43.41,0.721,-27.263,-57.686,4.633,-1.349,-40.91,-13.4,-1.181
WIN,N_D1,5,3,long_sweep_low,1.5,182,43.41,0.717,-27.763,-59.52,2.421,-1.373,-41.19,-13.62,-1.203
WIN,N_D1,5,3,long_sweep_low,2.0,182,43.41,0.713,-28.263,-57.79,4.292,-1.398,-41.47,-13.84,-1.225
WIN,N_D1,5,3,short_sweep_high,1.0,163,53.99,1.1,6.971,-21.167,35.918,0.407,-21.91,2.91,0.271
WIN,N_D1,5,3,short_sweep_high,1.5,163,53.37,1.092,6.471,-24.158,36.205,0.378,-22.06,2.68,0.251
WIN,N_D1,5,3,short_sweep_high,2.0,163,53.37,1.085,5.971,-21.322,34.654,0.349,-22.22,2.44,0.232
WIN,N_D1,10,1,long_sweep_low,1.0,167,41.92,0.626,-23.884,-41.502,-4.87,-1.251,-33.85,-10.9,-0.95
WIN,N_D1,10,1,long_sweep_low,1.5,167,41.92,0.62,-24.384,-43.083,-5.322,-1.276,-34.4,-11.11,-0.97
WIN,N_D1,10,1,long_sweep_low,2.0,167,41.92,0.614,-24.884,-44.539,-7.244,-1.301,-34.95,-11.32,-0.989
WIN,N_D1,10,1,short_sweep_high,1.0,150,50.0,0.877,-6.763,-29.929,14.096,-0.33,-15.63,-3.15,-0.242
WIN,N_D1,10,1,short_sweep_high,1.5,150,50.0,0.869,-7.263,-29.367,13.454,-0.355,-15.82,-3.35,-0.259
WIN,N_D1,10,1,short_sweep_high,2.0,150,50.0,0.861,-7.763,-28.804,13.064,-0.379,-16.05,-3.56,-0.277
WIN,N_D1,10,3,long_sweep_low,1.0,166,43.98,0.747,-24.399,-57.094,10.156,-1.146,-34.46,-11.13,-0.964
WIN,N_D1,10,3,long_sweep_low,1.5,166,43.98,0.743,-24.899,-58.254,8.249,-1.169,-35.0,-11.34,-0.984
WIN,N_D1,10,3,long_sweep_low,2.0,166,43.98,0.739,-25.399,-60.076,9.873,-1.193,-35.54,-11.54,-1.004
WIN,N_D1,10,3,short_sweep_high,1.0,150,53.33,1.082,5.686,-23.775,34.651,0.33,-21.88,2.14,0.203
WIN,N_D1,10,3,short_sweep_high,1.5,150,52.67,1.075,5.186,-23.777,33.961,0.301,-22.02,1.93,0.185
WIN,N_D1,10,3,short_sweep_high,2.0,150,52.67,1.067,4.686,-25.088,30.791,0.272,-22.15,1.72,0.167
