symbol,descricao,n_d1,primeiro_d1,n_h1,primeiro_h1
WIN$N,IBOVESPA MINI - Por Liquidez (WINQ26) - Sem Ajustes,1248,2021-07-21,12058,2021-07-21
WDO$N,DOLAR MINI - Por Liquidez (WDOQ26) - Sem Ajustes,1248,2021-07-21,12060,2021-07-21
IND$N,INDICE BOVESPA - Por Liquidez (INDQ26) - Sem Ajustes,1248,2021-07-21,12057,2021-07-21
DOL$N,DOLAR COMERCIAL FUTURO - Por Liquidez (DOLQ26) - Sem Ajustes,1248,2021-07-21,12062,2021-07-21
DI1$N,DI DE 1 DIA - Por Liquidez (DI1F31) - Sem Ajustes,1248,2021-07-21,11209,2021-07-21
BGI$N,BOI GORDO R$ - Por Liquidez (BGIN26) - Sem Ajustes,1248,2021-07-21,9956,2021-07-21
CCM$N,MILHO CAMPINAS - Por Liquidez (CCMU26) - Sem Ajustes,1248,2021-07-21,9968,2021-07-21
ICF$N,CAFE ARABICA - Por Liquidez (ICFU26) - Sem Ajustes,1248,2021-07-21,8988,2021-07-21
BIT$N,Futuro de Bitcoin - Por Liquidez (BITN26) - Sem Ajustes,561,2024-04-23,5664,2024-04-23
WINM27,IBOVESPA MINI,0,,0,
WINQ26,IBOVESPA MINI,106,2026-02-13,905,2026-02-13
WINV26,IBOVESPA MINI,66,2026-04-15,509,2026-04-15
WINZ26,IBOVESPA MINI,47,2026-05-12,228,2026-05-12
WIN$,IBOVESPA MINI - Por Liquidez (WINQ26) - Ajuste Proporcional,1248,2021-07-21,12058,2021-07-21
WIN@,IBOVESPA MINI - Por Vencimento (WINQ26) - Ajuste Proporcional,1248,2021-07-21,12058,2021-07-21
WIN$D,IBOVESPA MINI - Por Liquidez (WINQ26) - Ajuste por Diferença,1248,2021-07-21,12058,2021-07-21
WIN@D,IBOVESPA MINI - Por Vencimento (WINQ26) - Ajuste por Diferença,1248,2021-07-21,12058,2021-07-21
