test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,primary_horizon_min,hold_rate_round,hold_rate_placebo,fwd_short_round,fwd_short_placebo,fwd_long_round,fwd_long_placebo,range_horizon_min,fwd_vshort_round,fwd_vshort_placebo,range_v_atr_round,range_v_atr_placebo,range_v_atr_diff,range_v_atr_ci_lo,range_v_atr_ci_hi,n_bars,n_days,ks_stat,ks_pvalue,mean_dist_atr_round,mean_dist_atr_placebo,fwd1_round,fwd1_placebo,fwd3_round,fwd3_placebo,n_discarded_rollover_round,n_discarded_rollover_placebo,bps_test,gate1_threshold,gate3_threshold,gate1,gate2,gate3,gate4_coherent
T1_bounce,WIN,g500,M5,discovery,620,637,0.7442148256716111,1.0706106128535706,-0.3263957871819595,-3.7198806588042572,3.3343918964738184,30.0,0.432258064516129,0.4489795918367347,-0.1671232012416778,1.3024669487190517,0.2011409343695775,0.2818613185667634,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,True,True,True
T1_bounce,WIN,g500,M5,confirm,508,495,-0.19722476879424636,1.7865412485459218,-1.983766017340168,-4.627659259806792,0.5290601941281786,30.0,0.43503937007874016,0.4484848484848485,-0.5396607803693934,0.594724861008652,0.8042702298290902,1.5350003251427018,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WIN,g1000,M5,discovery,296,324,0.6452718022151153,0.8346072174713722,-0.18933541525625697,-4.6850846606019845,4.71297629876071,30.0,0.41216216216216217,0.4506172839506173,0.42944673797800703,-0.7121377136152166,1.4772657401235343,-0.9647014807636676,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,True,True,True
T1_bounce,WIN,g1000,M5,confirm,261,247,-0.2803448509313094,-0.10939342694091245,-0.17095142399039695,-3.4059897748083023,3.4971737024742744,30.0,0.4559386973180077,0.41295546558704455,-0.21988223509480018,-0.87756442537615,0.5073303918442363,1.1180406659183488,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WIN,g500,M15,discovery,1310,1304,-0.5604775960333152,-0.6303597420785847,0.06988214604526954,-2.507498764151826,2.553333364859064,30.0,0.3816793893129771,0.39493865030674846,-0.845226528063265,-0.46611169641030337,-0.4666838807716753,-1.4646894630440537,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,False,True,True
T1_bounce,WIN,g500,M15,confirm,410,400,0.08438926153440997,0.7976133490618846,-0.7132240875274747,-3.3937088096910664,2.0513940854521047,30.0,0.3951219512195122,0.3775,-0.2007879286395722,0.5620253365456794,1.1567178196007646,0.06434382510898672,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WIN,g1000,M15,discovery,646,664,0.29381788163833295,-1.3916144613584425,1.6854323429967755,-1.643986019079372,4.912997755450988,30.0,0.3715170278637771,0.39156626506024095,0.14220694287383107,-1.8058922241858013,0.6873124928634444,-1.589397220181747,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,False,True,False
T1_bounce,WIN,g1000,M15,confirm,207,203,0.7862211636860071,-0.6312718406595839,1.417493004345591,-2.2986175783941407,5.031548574289406,30.0,0.4492753623188406,0.3399014778325123,0.5155809275244996,-0.9312724272896351,1.7266744438857522,0.5755305229160728,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WIN,g500,H1,discovery,725,726,-1.34394192597816,-2.569533185808468,1.225591259830308,-3.348976332187072,6.124305629463066,120.0,0.27586206896551724,0.28236914600550966,-0.10718008151371593,-3.2283137408880638,-1.6670055422043566,-4.341161894136723,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,True,True,False
T1_bounce,WIN,g500,H1,confirm,233,227,-1.3977017445522921,1.1755150498927247,-2.573216794445017,-7.659935989608266,2.707768965823266,120.0,0.296137339055794,0.2775330396475771,-0.8147051883475226,1.4690818696832666,-2.5570647292766107,-3.6912922046701793,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WIN,g1000,H1,discovery,356,369,-1.9991087030743575,-0.7118569052566249,-1.2872517978177327,-8.22350243032395,5.430368185526651,120.0,0.2752808988764045,0.2764227642276423,0.8797568036360487,-1.0593468324983124,-1.6193737925052172,-1.7129592085807614,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,False,True,True
