test,asset,grid,tf,year,n_bars,efeito_round,efeito_placebo,diff,ci_lo,ci_hi
T3_magnet,WIN,g500,M5,2022,1243,0.585679806918745,0.5325824617860017,0.053097345132743334,-0.02497988736926794,0.12721238938053087
T3_magnet,WIN,g500,M5,2023,23728,0.3931220498988537,0.40066587997302766,-0.007543830074173974,-0.03193824586633352,0.015933484105529305
T3_magnet,WIN,g1000,M5,2022,1243,0.2574416733708769,0.32823813354786807,-0.07079646017699115,-0.2260659694288013,0.08209975864843119
T3_magnet,WIN,g1000,M5,2023,23728,0.2018290627107215,0.19129298718813217,0.010536075522589339,-0.014339686981002752,0.03289014807232888
T3_magnet,WIN,g500,M15,2021,2980,0.5050335570469798,0.5439597315436242,-0.03892617449664437,-0.07505297715255364,0.0020204167363429954
T3_magnet,WIN,g500,M15,2022,8056,0.47219463753723934,0.458291956305859,0.013902681231380332,-0.010079443892750749,0.03768002140971363
T3_magnet,WIN,g500,M15,2023,7982,0.39538962665998495,0.40177900275620143,-0.006389376096216481,-0.03295419446503581,0.021114443916332177
T3_magnet,WIN,g1000,M15,2021,2980,0.2651006711409396,0.23993288590604026,0.025167785234899348,-0.023490722198166985,0.07248430938879515
T3_magnet,WIN,g1000,M15,2022,8056,0.23535253227408143,0.23684210526315788,-0.0014895729890764542,-0.02866190360136482,0.027108405036932258
T3_magnet,WIN,g1000,M15,2023,7982,0.20408418942620898,0.191305437233776,0.01277875219243299,-0.013017762882020658,0.03620775969962453
T3_magnet,WIN,g500,H1,2021,761,0.480946123521682,0.5650459921156373,-0.08409986859395535,-0.1544603963117176,-0.006542597684956274
T3_magnet,WIN,g500,H1,2022,2052,0.47953216374269003,0.452729044834308,0.02680311890838205,-0.011206379632709472,0.06381217406849285
T3_magnet,WIN,g500,H1,2023,2033,0.3989178553861289,0.4048204623708805,-0.0059026069847515905,-0.04691392323853027,0.03744655329450105
T3_magnet,WIN,g1000,H1,2021,761,0.25098554533508544,0.22996057818659657,0.021024967148488866,-0.04308517464043606,0.08259063669963998
T3_magnet,WIN,g1000,H1,2022,2052,0.2309941520467836,0.24853801169590642,-0.017543859649122806,-0.04920975134314868,0.015121951219512209
T3_magnet,WIN,g1000,H1,2023,2033,0.20216428922774227,0.19675356615838663,0.0054107230693556385,-0.02644726235774402,0.033352965281394864
T3_magnet,WDO,g5,M5,2022,66,1.0,1.0,0.0,0.0,0.0
T3_magnet,WDO,g5,M5,2023,21964,0.9912584228737935,0.9915315971589874,-0.0002731742851939112,-0.0023214616922766496,0.0014517528086285757
T3_magnet,WDO,g10,M5,2022,66,0.9696969696969697,0.7272727272727273,0.24242424242424243,0.24242424242424243,0.24242424242424243
T3_magnet,WDO,g10,M5,2023,21964,0.6274813330905118,0.6228373702422145,0.004643962848297267,-0.012081702826244985,0.021553743594396876
T3_magnet,WDO,g5,M15,2021,2758,1.0,1.0,0.0,0.0,0.0
T3_magnet,WDO,g5,M15,2022,7413,1.0,1.0,0.0,0.0,0.0
T3_magnet,WDO,g5,M15,2023,7323,0.9909873002867677,0.9919431926805954,-0.0009558923938276509,-0.004226369851645548,0.0021845851066770393
T3_magnet,WDO,g10,M15,2021,2758,0.8284989122552574,0.8339376359680928,-0.0054387237128353805,-0.030172220364547357,0.017724746950727423
T3_magnet,WDO,g10,M15,2022,7413,0.8838526912181303,0.8892486172939431,-0.005395926075812851,-0.01534155181461717,0.004724223928723062
T3_magnet,WDO,g10,M15,2023,7323,0.6254267376758159,0.6266557421821658,-0.0012290045063498845,-0.023532752942873606,0.021858222266041664
T3_magnet,WDO,g5,H1,2021,706,1.0,1.0,0.0,0.0,0.0
T3_magnet,WDO,g5,H1,2022,1889,1.0,1.0,0.0,0.0,0.0
T3_magnet,WDO,g5,H1,2023,1866,0.9898177920685959,0.9898177920685959,0.0,-0.0074906367041197575,0.0070011827956989936
T3_magnet,WDO,g10,H1,2021,706,0.8286118980169972,0.8215297450424929,0.007082152974504319,-0.035495147971791874,0.05352301396531509
T3_magnet,WDO,g10,H1,2022,1889,0.8814187400741132,0.8845950238221281,-0.0031762837480148187,-0.023234029561451857,0.017636997620306648
T3_magnet,WDO,g10,H1,2023,1866,0.6355841371918542,0.6120042872454448,0.023579849946409492,-0.011730878160877211,0.06174937072995328
