thesis,market,split,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,note
S1,WIN,DISCOVERY,,,,,mean_ret_bps_per_day,-3.5792,-11.7325,4.2035,862,
S1,WIN,year_2021,,,,,mean_ret_bps_per_day,-16.813,-42.9657,9.9045,113,
S1,WIN,year_2022,,,,,mean_ret_bps_per_day,-1.3548,-18.8567,15.8772,250,
S1,WIN,year_2023,,,,,mean_ret_bps_per_day,4.5446,-10.9135,18.6234,248,
S1,WIN,year_2024,,,,,mean_ret_bps_per_day,-7.8637,-17.6873,2.2383,251,
S1,WIN,H1,,,,,mean_ret_bps_per_day,-7.4835,-20.9082,5.6634,426,
S1,WIN,H2,,,,,mean_ret_bps_per_day,0.2355,-8.6942,8.4687,436,
S2,WIN,DISCOVERY,L,21,F,5,spread_up_minus_down_bps_per_day,-8.9519,-26.2437,7.3963,168,
S2,WIN,H1,L,21,F,5,spread_up_minus_down_bps_per_day,-10.7182,-42.2787,20.9699,82,
S2,WIN,H2,L,21,F,5,spread_up_minus_down_bps_per_day,-8.7954,-28.6963,10.2253,86,
S2,WIN,DISCOVERY_G3,L,21,F,5,spread_up_minus_down_bps_per_day_g3,-6.1591,-21.443,8.3557,160,n_removed=8
S2,WIN,DISCOVERY,L,21,F,21,spread_up_minus_down_bps_per_day,6.256,-7.9933,20.59,40,
S2,WIN,H1,L,21,F,21,spread_up_minus_down_bps_per_day,1.3763,-20.9678,24.3566,20,
S2,WIN,H2,L,21,F,21,spread_up_minus_down_bps_per_day,10.4425,-8.251,29.4298,20,
S2,WIN,DISCOVERY_G3,L,21,F,21,spread_up_minus_down_bps_per_day_g3,6.7016,-7.007,21.6412,38,n_removed=2
S2,WIN,DISCOVERY,L,63,F,5,spread_up_minus_down_bps_per_day,-9.0434,-24.0458,5.505,159,
S2,WIN,H1,L,63,F,5,spread_up_minus_down_bps_per_day,-16.2896,-41.4722,12.6623,73,
S2,WIN,H2,L,63,F,5,spread_up_minus_down_bps_per_day,-6.4693,-22.5011,9.2081,86,
S2,WIN,DISCOVERY_G3,L,63,F,5,spread_up_minus_down_bps_per_day_g3,-7.8756,-19.9585,4.4669,151,n_removed=8
S2,WIN,DISCOVERY,L,63,F,21,spread_up_minus_down_bps_per_day,-3.5323,-19.227,11.584,38,
S2,WIN,H1,L,63,F,21,spread_up_minus_down_bps_per_day,-4.6024,-28.6687,19.225,18,
S2,WIN,H2,L,63,F,21,spread_up_minus_down_bps_per_day,-6.0761,-25.8508,12.7956,20,
S2,WIN,DISCOVERY_G3,L,63,F,21,spread_up_minus_down_bps_per_day_g3,-3.5079,-18.5356,12.1257,36,n_removed=2
S2,WIN,DISCOVERY,L,126,F,5,spread_up_minus_down_bps_per_day,-8.6974,-26.1975,9.5914,147,
S2,WIN,H1,L,126,F,5,spread_up_minus_down_bps_per_day,-10.7291,-45.9918,22.2489,61,
S2,WIN,H2,L,126,F,5,spread_up_minus_down_bps_per_day,-12.7647,-31.9087,5.2606,86,
S2,WIN,DISCOVERY_G3,L,126,F,5,spread_up_minus_down_bps_per_day_g3,-10.5587,-26.7722,4.3556,140,n_removed=7
S2,WIN,DISCOVERY,L,126,F,21,spread_up_minus_down_bps_per_day,-13.7566,-29.2699,3.8234,35,
S2,WIN,H1,L,126,F,21,spread_up_minus_down_bps_per_day,-21.0876,-55.1385,13.5194,15,
S2,WIN,H2,L,126,F,21,spread_up_minus_down_bps_per_day,-17.1777,-33.0292,0.2795,20,
S2,WIN,DISCOVERY_G3,L,126,F,21,spread_up_minus_down_bps_per_day_g3,-14.5663,-28.8006,0.5178,33,n_removed=2
S2,WIN,DISCOVERY,L,252,F,5,spread_up_minus_down_bps_per_day,-13.915,-27.7014,0.7989,122,
