thesis,market,stage,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,gate_pass,note
S1,WDO,DISCOVERY,,,,,mean_ret_bps_per_day,-2.1756,-4.9563,0.5862,4698,,
S1,WDO,H1,,,,,mean_ret_bps_per_day,-4.3753,-8.4103,-0.3745,2475,,
S1,WDO,H2,,,,,mean_ret_bps_per_day,0.2734,-3.4455,3.8233,2223,,
S1,WDO,year_2000,,,,,mean_ret_bps_per_day,-0.5195,-6.2514,5.7835,247,,
S1,WDO,year_2001,,,,,mean_ret_bps_per_day,2.6592,-10.7066,15.7103,245,,
S1,WDO,year_2002,,,,,mean_ret_bps_per_day,11.8724,-7.2157,30.286,249,,
S1,WDO,year_2003,,,,,mean_ret_bps_per_day,-15.5162,-26.2149,-4.6796,250,,
S1,WDO,year_2004,,,,,mean_ret_bps_per_day,-8.6567,-15.3418,-1.7704,249,,
S1,WDO,year_2005,,,,,mean_ret_bps_per_day,-10.4073,-20.4571,-0.2926,249,,
S1,WDO,year_2006,,,,,mean_ret_bps_per_day,-7.0459,-16.6649,3.9534,246,,
S1,WDO,year_2007,,,,,mean_ret_bps_per_day,-9.8581,-19.7742,0.7877,245,,
S1,WDO,year_2008,,,,,mean_ret_bps_per_day,8.8413,-13.4103,31.3324,249,,
S1,WDO,year_2009,,,,,mean_ret_bps_per_day,-15.1842,-27.3792,-2.9337,246,,
S1,WDO,year_2010,,,,,mean_ret_bps_per_day,-5.1682,-14.0849,3.1437,247,,
S1,WDO,year_2011,,,,,mean_ret_bps_per_day,0.8152,-9.7524,11.2455,249,,
S1,WDO,year_2012,,,,,mean_ret_bps_per_day,0.5604,-7.7356,8.5405,244,,
S1,WDO,year_2013,,,,,mean_ret_bps_per_day,2.7363,-5.9049,11.7084,248,,
S1,WDO,year_2014,,,,,mean_ret_bps_per_day,1.3511,-8.7077,11.0443,248,,
S1,WDO,year_2015,,,,,mean_ret_bps_per_day,11.4931,-3.1612,26.9196,246,,
