section,split,year,n,q25,median,q75,r,n_inside,pct_inside,ret_open_close_bps,ret_lo_bps,ret_hi_bps,abs_ret_bps,abs_ret_lo_bps,abs_ret_hi_bps,range_ratio,range_ratio_lo,range_ratio_hi
range_dist_by_year,,2021.0,114,1747.5,2145.0,2813.75,,,,,,,,,,,,
range_dist_by_year,,2022.0,249,1565.0,2035.0,2675.0,,,,,,,,,,,,
range_dist_by_year,,2023.0,247,1405.0,1715.0,2175.0,,,,,,,,,,,,
range_dist_by_year,,2024.0,250,1151.25,1485.0,1888.75,,,,,,,,,,,,
corr_range_lag1,DISCOVERY,,609,,,,0.28582726164085936,,,,,,,,,,,
pct_inside_days,DISCOVERY,,610,,,,,68.0,11.147540983606557,,,,,,,,,
post_inside_day,DISCOVERY,,67,,,,,,,13.974252144210103,-15.607287900775702,40.72130302403754,97.76676455894729,81.72963216760111,115.76746681226882,1.1220758950346306,1.0275953565505804,1.2297395376060873
corr_range_lag1,CONFIRM,,249,,,,0.061094293405532,,,,,,,,,,,
pct_inside_days,CONFIRM,,250,,,,,30.0,12.0,,,,,,,,,
post_inside_day,CONFIRM,,29,,,,,,,-3.7982146050149006,-31.86024384526456,25.99990000743037,66.60564037809618,48.45388705007504,83.58989582558488,1.0790665273423894,0.9553988157436433,1.223391965633345
