section,split,year,type,n,pct,mean_bps,lo_bps,hi_bps
freq_by_split,DISCOVERY,,mixed,290,47.540983606557376,,,
freq_by_split,DISCOVERY,,range,200,32.78688524590164,,,
freq_by_split,DISCOVERY,,trend_up,65,10.655737704918034,,,
freq_by_split,DISCOVERY,,trend_down,55,9.01639344262295,,,
freq_by_split,CONFIRM,,mixed,116,46.4,,,
freq_by_split,CONFIRM,,range,85,34.0,,,
freq_by_split,CONFIRM,,trend_down,25,10.0,,,
freq_by_split,CONFIRM,,trend_up,24,9.6,,,
freq_by_year,DISCOVERY,2021.0,mixed,54,47.36842105263158,,,
freq_by_year,DISCOVERY,2021.0,range,41,35.96491228070175,,,
freq_by_year,DISCOVERY,2021.0,trend_down,11,9.649122807017545,,,
freq_by_year,DISCOVERY,2021.0,trend_up,8,7.017543859649122,,,
freq_by_year,DISCOVERY,2022.0,mixed,109,43.77510040160642,,,
freq_by_year,DISCOVERY,2022.0,range,85,34.136546184738954,,,
freq_by_year,DISCOVERY,2022.0,trend_up,33,13.25301204819277,,,
freq_by_year,DISCOVERY,2022.0,trend_down,22,8.835341365461847,,,
freq_by_year,DISCOVERY,2023.0,mixed,127,51.417004048582996,,,
freq_by_year,DISCOVERY,2023.0,range,74,29.959514170040485,,,
freq_by_year,DISCOVERY,2023.0,trend_up,24,9.7165991902834,,,
freq_by_year,DISCOVERY,2023.0,trend_down,22,8.906882591093117,,,
freq_by_year,CONFIRM,2024.0,mixed,116,46.4,,,
freq_by_year,CONFIRM,2024.0,range,85,34.0,,,
freq_by_year,CONFIRM,2024.0,trend_down,25,10.0,,,
freq_by_year,CONFIRM,2024.0,trend_up,24,9.6,,,
cross_fhsign_type,DISCOVERY,,down|mixed,138,47.26027397260274,,,
cross_fhsign_type,DISCOVERY,,down|range,93,31.84931506849315,,,
cross_fhsign_type,DISCOVERY,,down|trend_down,29,9.931506849315069,,,
cross_fhsign_type,DISCOVERY,,down|trend_up,32,10.95890410958904,,,
cross_fhsign_type,DISCOVERY,,flat|mixed,2,50.0,,,
cross_fhsign_type,DISCOVERY,,flat|range,2,50.0,,,
cross_fhsign_type,DISCOVERY,,flat|trend_down,0,0.0,,,
cross_fhsign_type,DISCOVERY,,flat|trend_up,0,0.0,,,
cross_fhsign_type,DISCOVERY,,up|mixed,150,47.77070063694268,,,
cross_fhsign_type,DISCOVERY,,up|range,105,33.43949044585987,,,
cross_fhsign_type,DISCOVERY,,up|trend_down,26,8.280254777070063,,,
cross_fhsign_type,DISCOVERY,,up|trend_up,33,10.509554140127388,,,
cross_fhsign_type,CONFIRM,,down|mixed,64,46.3768115942029,,,
cross_fhsign_type,CONFIRM,,down|range,49,35.507246376811594,,,
cross_fhsign_type,CONFIRM,,down|trend_down,15,10.869565217391305,,,
cross_fhsign_type,CONFIRM,,down|trend_up,10,7.246376811594203,,,
cross_fhsign_type,CONFIRM,,up|mixed,52,46.42857142857143,,,
cross_fhsign_type,CONFIRM,,up|range,36,32.142857142857146,,,
cross_fhsign_type,CONFIRM,,up|trend_down,10,8.928571428571429,,,
cross_fhsign_type,CONFIRM,,up|trend_up,14,12.5,,,
cond_rest_of_day,DISCOVERY,,down|high_vol,148,,-0.06896356724064716,-18.9595534373673,19.174284957251928
cond_rest_of_day,DISCOVERY,,down|low_vol,144,,3.162038965946747,-14.229223470583454,20.7563673382323
cond_rest_of_day,DISCOVERY,,up|high_vol,157,,-17.47751277632737,-36.515962976591176,1.8333149833494493
cond_rest_of_day,DISCOVERY,,up|low_vol,157,,9.890367367782273,-8.369894259282189,27.243941174453745
cond_rest_of_day,CONFIRM,,down|high_vol,67,,-11.157541109520192,-29.860143770901438,6.54825031757426
cond_rest_of_day,CONFIRM,,down|low_vol,71,,-14.11370766272078,-29.79523696003589,1.027193959684749
cond_rest_of_day,CONFIRM,,up|high_vol,58,,4.423681055869829,-13.223783506556108,21.270270740412922
cond_rest_of_day,CONFIRM,,up|low_vol,54,,9.435933339122187,-11.608439813258785,30.953795676608717
