predictor,value,split,n,pct_positive_day,hit_rate_matching_sign,target,mean_bps,ci_lo,ci_hi
gap_sign,neg,discovery,292,53.082191780821915,46.23287671232877,ret_open_close_bps,3.008322163797751,-12.082060118276596,17.616700024982006
gap_sign,pos,discovery,313,50.159744408945684,50.159744408945684,ret_open_close_bps,-5.139508968320675,-18.145512829920854,8.32786040920025
gap_sign,zero,discovery,4,75.0,,ret_open_close_bps,24.58651965233112,-63.20326770207697,100.07281952592817
gap_sign,neg,confirm,116,53.44827586206896,46.55172413793103,ret_open_close_bps,-1.874961553779174,-15.923903596835467,13.201547700956766
gap_sign,pos,confirm,131,47.32824427480916,47.32824427480916,ret_open_close_bps,-12.755583916510563,-27.966697979179326,2.5533960034323235
gap_sign,zero,confirm,3,33.33333333333333,,ret_open_close_bps,-30.43791955191425,-93.06598498162646,52.82640549086142
bar1_sign,neg,discovery,310,43.225806451612904,56.12903225806451,ret_open_close_bps,-23.102580346770434,-35.484181003930665,-10.332283375868451
bar1_sign,pos,discovery,298,60.40268456375839,60.40268456375839,ret_open_close_bps,21.848856139599587,8.194698681620917,34.56468257404372
bar1_sign,zero,discovery,2,100.0,,ret_open_close_bps,21.90016032542562,20.294038062595835,23.506282588255406
bar1_sign,neg,confirm,141,36.17021276595745,63.829787234042556,ret_open_close_bps,-30.46991345059377,-42.97906869162314,-18.164864465055164
bar1_sign,pos,confirm,107,67.28971962616822,67.28971962616822,ret_open_close_bps,20.107549118784643,4.28329917342256,35.55618787550163
bar1_sign,zero,confirm,2,100.0,,ret_open_close_bps,82.47962443337724,32.29974160206718,132.6595072646873
hour1_sign,neg,discovery,292,37.67123287671233,61.64383561643836,ret_open_close_bps,-34.59251905341953,-49.21294934081689,-20.738322338764938
hour1_sign,neg,discovery,292,37.67123287671233,61.64383561643836,ret_10_close_bps,1.5244075450161405,-12.356084976762078,15.079172903426809
hour1_sign,pos,discovery,314,64.64968152866241,64.64968152866241,ret_open_close_bps,29.899425453346677,16.898819383460864,42.762680189126336
hour1_sign,pos,discovery,314,64.64968152866241,64.64968152866241,ret_10_close_bps,-3.7935727042725875,-16.950659738587746,8.990267869990946
hour1_sign,zero,discovery,4,75.0,,ret_open_close_bps,26.388878500085813,2.587354010619844,47.93926984129908
hour1_sign,zero,discovery,4,75.0,,ret_10_close_bps,26.388878500085813,2.587354010619844,47.93926984129908
hour1_sign,neg,confirm,138,31.15942028985507,68.84057971014492,ret_open_close_bps,-40.21979874158977,-52.712056775592075,-28.127577400604245
hour1_sign,neg,confirm,138,31.15942028985507,68.84057971014492,ret_10_close_bps,-12.67846737964521,-24.524104510392963,-1.1300885589902723
hour1_sign,pos,confirm,112,73.21428571428571,73.21428571428571,ret_open_close_bps,31.87983423555695,17.68616621592378,46.20257355671794
hour1_sign,pos,confirm,112,73.21428571428571,73.21428571428571,ret_10_close_bps,6.840302692437886,-6.955341390852973,20.056229608678425
d1_sign,neg,discovery,291,54.29553264604811,45.017182130584196,ret_open_close_bps,2.1875381305413493,-11.640460831059244,15.688373173786397
d1_sign,pos,discovery,315,49.2063492063492,49.2063492063492,ret_open_close_bps,-4.46188312938116,-18.96691587763378,9.59148807470007
d1_sign,zero,discovery,3,66.66666666666666,,ret_open_close_bps,45.676477707143384,-138.04462920114514,174.30630800395724
d1_sign,neg,confirm,125,49.6,50.4,ret_open_close_bps,-5.681946657385787,-18.398785079792475,8.170009072142019
d1_sign,pos,confirm,125,50.4,50.4,ret_open_close_bps,-10.156379678270296,-26.282168004396844,6.6087189582477945
weekday,Friday,discovery,121,51.2396694214876,,ret_open_close_bps,0.7678653575475917,-20.805486388305034,23.052560195018653
weekday,Monday,discovery,123,53.65853658536586,,ret_open_close_bps,-2.968995713997076,-23.772709489513314,18.026549907296385
weekday,Thursday,discovery,122,54.91803278688525,,ret_open_close_bps,2.939844698467637,-19.161888092250706,24.951914683687015
weekday,Tuesday,discovery,122,43.44262295081967,,ret_open_close_bps,-8.53791087171942,-30.63922285166471,13.815484407283265
weekday,Wednesday,discovery,122,55.73770491803278,,ret_open_close_bps,2.8540850856376534,-16.697649479608465,20.86611191938242
weekday,Friday,confirm,50,42.0,,ret_open_close_bps,-17.85768349034689,-41.92258227694541,7.557338642892757
weekday,Monday,confirm,51,56.86274509803921,,ret_open_close_bps,6.689222058603778,-14.152653571593541,27.275414432158094
weekday,Thursday,confirm,51,31.372549019607842,,ret_open_close_bps,-33.905157369734006,-57.66281820780062,-7.539451641211212
weekday,Tuesday,confirm,50,68.0,,ret_open_close_bps,18.853395205989262,-2.104361326423067,39.932742073297824
weekday,Wednesday,confirm,48,52.083333333333336,,ret_open_close_bps,-13.365909934822659,-39.913385870205786,11.830569083204121
inside_day_d1,False,discovery,543,50.82872928176796,,ret_open_close_bps,-2.842201382890206,-12.626306212168032,7.607465770406738
inside_day_d1,True,discovery,67,59.70149253731343,,ret_open_close_bps,13.974252144210084,-15.607287900775745,40.72130302403744
inside_day_d1,False,confirm,220,50.45454545454545,,ret_open_close_bps,-8.155575781470887,-18.09462861178419,2.4246055393535246
inside_day_d1,True,confirm,30,46.666666666666664,,ret_open_close_bps,-6.185470667780511,-33.92070453340561,23.515964439667595
open_tercile_d1,alto,discovery,247,52.226720647773284,,ret_open_close_bps,0.5437760902347165,-14.489355539006189,13.498500292864888
open_tercile_d1,baixo,discovery,200,52.0,,ret_open_close_bps,2.4342438042861114,-14.972642001390993,20.761553710325718
open_tercile_d1,meio,discovery,162,50.617283950617285,,ret_open_close_bps,-7.734886492538889,-25.67072469479541,10.443846030981062
