level,split,N_bps,M_bps,n_touches,n_bounce,n_break,n_tie,n_censored,pct_bounce_of_decided,pct_break_of_decided,pct_bounce_of_all,pct_break_of_all,pct_censored
PDH,discovery,10,5,286,134,152,165,0,46.85314685314685,53.14685314685315,46.85314685314685,53.14685314685315,0.0
PDH,discovery,10,10,286,168,118,102,0,58.74125874125874,41.25874125874126,58.74125874125874,41.25874125874126,0.0
PDH,discovery,20,5,286,101,184,108,1,35.43859649122807,64.56140350877193,35.31468531468531,64.33566433566433,0.34965034965034963
PDH,discovery,20,10,286,128,156,65,2,45.07042253521127,54.929577464788736,44.75524475524475,54.54545454545454,0.6993006993006993
PDH,discovery,30,5,286,72,213,66,1,25.263157894736842,74.73684210526315,25.174825174825177,74.47552447552448,0.34965034965034963
PDH,discovery,30,10,286,98,184,41,4,34.751773049645394,65.24822695035462,34.26573426573427,64.33566433566433,1.3986013986013985
PDH,confirm,10,5,108,54,54,42,0,50.0,50.0,50.0,50.0,0.0
PDH,confirm,10,10,108,68,40,24,0,62.96296296296296,37.03703703703704,62.96296296296296,37.03703703703704,0.0
PDH,confirm,20,5,108,29,78,21,1,27.102803738317753,72.89719626168224,26.851851851851855,72.22222222222221,0.9259259259259258
PDH,confirm,20,10,108,43,63,11,2,40.56603773584906,59.43396226415094,39.81481481481482,58.333333333333336,1.8518518518518516
PDH,confirm,30,5,108,14,93,6,1,13.084112149532709,86.91588785046729,12.962962962962962,86.11111111111111,0.9259259259259258
PDH,confirm,30,10,108,22,83,5,3,20.952380952380953,79.04761904761905,20.37037037037037,76.85185185185185,2.7777777777777777
PDL,discovery,10,5,282,142,139,193,1,50.5338078291815,49.46619217081851,50.35460992907801,49.29078014184397,0.3546099290780142
PDL,discovery,10,10,282,164,117,134,1,58.362989323843415,41.637010676156585,58.156028368794324,41.48936170212766,0.3546099290780142
PDL,discovery,20,5,282,116,164,143,2,41.42857142857143,58.57142857142858,41.13475177304964,58.156028368794324,0.7092198581560284
PDL,discovery,20,10,282,136,144,101,2,48.57142857142857,51.42857142857142,48.226950354609926,51.06382978723404,0.7092198581560284
PDL,discovery,30,5,282,78,200,90,4,28.05755395683453,71.94244604316546,27.659574468085108,70.92198581560284,1.4184397163120568
PDL,discovery,30,10,282,100,178,64,4,35.97122302158273,64.02877697841727,35.46099290780142,63.12056737588653,1.4184397163120568
PDL,confirm,10,5,132,74,58,50,0,56.060606060606055,43.93939393939394,56.060606060606055,43.93939393939394,0.0
PDL,confirm,10,10,132,91,41,23,0,68.93939393939394,31.060606060606062,68.93939393939394,31.060606060606062,0.0
PDL,confirm,20,5,132,48,84,21,0,36.36363636363637,63.63636363636363,36.36363636363637,63.63636363636363,0.0
PDL,confirm,20,10,132,62,70,10,0,46.96969696969697,53.03030303030303,46.96969696969697,53.03030303030303,0.0
PDL,confirm,30,5,132,28,104,10,0,21.21212121212121,78.78787878787878,21.21212121212121,78.78787878787878,0.0
PDL,confirm,30,10,132,42,90,6,0,31.818181818181817,68.18181818181817,31.818181818181817,68.18181818181817,0.0
