split,rollover_filter,bucket,n_days,pct_fill_same_day,n_filled,median_minutes_to_fill,ret_open11_mean_bps,ret_open11_ci_lo,ret_open11_ci_hi,ret_openclose_mean_bps,ret_openclose_ci_lo,ret_openclose_ci_hi
discovery,all_days,"(-inf,-40]",126,54.761904761904766,69,105.0,-2.0681303393625488,-16.398492060912044,11.695482796817,1.592861385467191,-22.608416663183394,25.84741057229281
discovery,all_days,"(-40,-15]",106,77.35849056603774,82,22.5,4.670719038107877,-7.521970614237231,16.22492521511536,4.688878479004373,-16.075395343812495,25.400186924303437
discovery,all_days,"(-15,0)",60,93.33333333333333,56,0.0,13.462445351523979,-5.015601675828991,32.28053892017303,3.0118069747602267,-25.952787243774058,30.379172005792313
discovery,all_days,{0},4,100.0,4,0.0,45.08989542084228,-17.55400592518285,107.01937985518457,24.58651965233112,-63.20326770207697,100.07281952592817
discovery,all_days,"(0,15]",53,94.33962264150944,50,0.0,-18.60406845590134,-38.8455591631572,1.3422858874055108,-5.790457755435025,-40.28661193221987,30.434111857542838
discovery,all_days,"(15,40]",118,78.8135593220339,93,15.0,-6.996646985301108,-18.939720227730795,5.707492332730144,-15.722888442173508,-35.150846782454515,4.000268004387127
discovery,all_days,"(40,inf)",142,50.0,71,105.0,10.781900804692894,0.07403565770266429,20.59726922384707,3.8980900713391495,-14.235342444917439,23.844531208689872
discovery,excl_rollover,"(-inf,-40]",85,62.35294117647059,53,90.0,-8.899217619097877,-23.892796721114706,4.569973969181202,-13.238902906219488,-40.25284307857946,14.139103571443188
discovery,excl_rollover,"(-40,-15]",106,77.35849056603774,82,22.5,4.670719038107877,-7.521970614237231,16.22492521511536,4.688878479004373,-16.075395343812495,25.400186924303437
discovery,excl_rollover,"(-15,0)",60,93.33333333333333,56,0.0,13.462445351523979,-5.015601675828991,32.28053892017303,3.0118069747602267,-25.952787243774058,30.379172005792313
discovery,excl_rollover,{0},4,100.0,4,0.0,45.08989542084228,-17.55400592518285,107.01937985518457,24.58651965233112,-63.20326770207697,100.07281952592817
discovery,excl_rollover,"(0,15]",53,94.33962264150944,50,0.0,-18.60406845590134,-38.8455591631572,1.3422858874055108,-5.790457755435025,-40.28661193221987,30.434111857542838
discovery,excl_rollover,"(15,40]",118,78.8135593220339,93,15.0,-6.996646985301108,-18.939720227730795,5.707492332730144,-15.722888442173508,-35.150846782454515,4.000268004387127
discovery,excl_rollover,"(40,inf)",91,57.14285714285714,52,90.0,10.53806227808591,-2.7433759672691087,24.288474917130234,1.578261903089292,-22.740737336610906,26.907954067616465
confirm,all_days,"(-inf,-40]",19,36.84210526315789,7,90.0,-7.736387750067249,-26.53650987094879,11.831054703262458,15.341691114878987,-23.42829952810705,52.8839717112113
confirm,all_days,"(-40,-15]",54,75.92592592592592,41,30.0,2.5357668115951975,-10.443974853824535,16.839182637968456,-1.72400216630384,-22.80423570281483,22.604452024008257
confirm,all_days,"(-15,0)",43,90.69767441860465,39,0.0,-9.542109548460346,-24.839041274073384,7.5664841094567015,-9.671896614899476,-32.68563202574549,12.018165555346139
confirm,all_days,{0},3,100.0,3,0.0,-24.96529045990289,-83.47978910369069,53.98318809285109,-30.43791955191425,-93.06598498162646,52.82640549086142
confirm,all_days,"(0,15]",43,90.69767441860465,39,0.0,0.25541251433713047,-14.837875705107637,18.131422079501515,4.147771803814109,-22.28049688040984,32.4530301074111
confirm,all_days,"(15,40]",60,78.33333333333333,47,15.0,-15.810386901164849,-30.404954499971318,-1.5046260288888191,-19.17704986746451,-40.30884320702946,2.5760410005672765
confirm,all_days,"(40,inf)",28,46.42857142857143,13,120.0,0.9292334383107307,-17.305150083793826,20.088901668929527,-24.954024592107846,-58.82123285071147,8.674179840647415
confirm,excl_rollover,"(-inf,-40]",14,42.857142857142854,6,60.0,-9.959360387671726,-28.359791932518487,12.386545027747767,-1.6059307399150495,-42.19216840133024,40.96166277506931
confirm,excl_rollover,"(-40,-15]",54,75.92592592592592,41,30.0,2.5357668115951975,-10.443974853824535,16.839182637968456,-1.72400216630384,-22.80423570281483,22.604452024008257
confirm,excl_rollover,"(-15,0)",43,90.69767441860465,39,0.0,-9.542109548460346,-24.839041274073384,7.5664841094567015,-9.671896614899476,-32.68563202574549,12.018165555346139
confirm,excl_rollover,{0},3,100.0,3,0.0,-24.96529045990289,-83.47978910369069,53.98318809285109,-30.43791955191425,-93.06598498162646,52.82640549086142
confirm,excl_rollover,"(0,15]",43,90.69767441860465,39,0.0,0.25541251433713047,-14.837875705107637,18.131422079501515,4.147771803814109,-22.28049688040984,32.4530301074111
confirm,excl_rollover,"(15,40]",60,78.33333333333333,47,15.0,-15.810386901164849,-30.404954499971318,-1.5046260288888191,-19.17704986746451,-40.30884320702946,2.5760410005672765
confirm,excl_rollover,"(40,inf)",20,50.0,10,82.5,13.988267534505974,-6.258961704448561,34.797164181571624,-8.782989743095094,-42.57599321124814,24.918796003366438
