row_type,split,year,rollover_filter,n_days,median_bps,q25_bps,q75_bps,mean_bps,pct_positive,bucket,n,pct_of_days
stats,discovery,ALL,all_days,609.0,2.676659528907923,-32.69832243389252,37.18425439158867,3.3559777451649007,51.39573070607554,,,
stats,discovery,2021,all_days,113.0,18.709073900841908,-34.84486873508353,47.34848484848485,6.654295558699083,61.06194690265486,,,
stats,discovery,2022,all_days,249.0,-3.837298541826554,-41.59592529711376,45.16975083782603,1.115588022705982,47.791164658634536,,,
stats,discovery,2023,all_days,247.0,2.6093763590501866,-23.112845227320093,31.74241263248092,4.1055612591847686,50.607287449392715,,,
stats,discovery,ALL,excl_rollover,517.0,1.9774569903104608,-28.02491103202847,30.6890318241056,1.337980603587433,50.67698259187621,,,
stats,discovery,2021,excl_rollover,90.0,16.308762350575314,-27.939287690172655,34.78647928474635,5.67945774596131,61.111111111111114,,,
stats,discovery,2022,excl_rollover,197.0,-6.545820745216516,-35.99308184920301,27.7404169468729,-2.1686215185750135,45.68527918781726,,,
stats,discovery,2023,excl_rollover,230.0,2.6193409233931773,-21.81294144056008,30.291648953971112,2.642622669902012,50.8695652173913,,,
stats,confirm,ALL,all_days,250.0,2.9224729250476753,-17.15169964610549,22.970079046360496,3.952110236918551,52.400000000000006,,,
stats,confirm,2024,all_days,250.0,2.9224729250476753,-17.15169964610549,22.970079046360496,3.952110236918551,52.400000000000006,,,
stats,confirm,ALL,excl_rollover,237.0,2.4554941682013505,-16.492578339747116,19.370651486401012,2.401001267319201,51.89873417721519,,,
stats,confirm,2024,excl_rollover,237.0,2.4554941682013505,-16.492578339747116,19.370651486401012,2.401001267319201,51.89873417721519,,,
bucket,discovery,ALL,all_days,,,,,,,"(-inf,-40]",126.0,20.689655172413794
bucket,discovery,ALL,all_days,,,,,,,"(-40,-15]",106.0,17.4055829228243
bucket,discovery,ALL,all_days,,,,,,,"(-15,0)",60.0,9.852216748768473
bucket,discovery,ALL,all_days,,,,,,,{0},4.0,0.6568144499178982
bucket,discovery,ALL,all_days,,,,,,,"(0,15]",53.0,8.70279146141215
bucket,discovery,ALL,all_days,,,,,,,"(15,40]",118.0,19.376026272578
bucket,discovery,ALL,all_days,,,,,,,"(40,inf)",142.0,23.316912972085387
bucket,discovery,2021,all_days,,,,,,,"(-inf,-40]",26.0,23.008849557522122
bucket,discovery,2021,all_days,,,,,,,"(-40,-15]",13.0,11.504424778761061
bucket,discovery,2021,all_days,,,,,,,"(-15,0)",4.0,3.5398230088495577
bucket,discovery,2021,all_days,,,,,,,{0},1.0,0.8849557522123894
bucket,discovery,2021,all_days,,,,,,,"(0,15]",8.0,7.079646017699115
bucket,discovery,2021,all_days,,,,,,,"(15,40]",27.0,23.893805309734514
bucket,discovery,2021,all_days,,,,,,,"(40,inf)",34.0,30.08849557522124
bucket,discovery,2022,all_days,,,,,,,"(-inf,-40]",65.0,26.104417670682732
bucket,discovery,2022,all_days,,,,,,,"(-40,-15]",41.0,16.46586345381526
bucket,discovery,2022,all_days,,,,,,,"(-15,0)",23.0,9.236947791164658
bucket,discovery,2022,all_days,,,,,,,{0},1.0,0.4016064257028112
bucket,discovery,2022,all_days,,,,,,,"(0,15]",19.0,7.630522088353414
bucket,discovery,2022,all_days,,,,,,,"(15,40]",36.0,14.457831325301203
bucket,discovery,2022,all_days,,,,,,,"(40,inf)",64.0,25.702811244979916
bucket,discovery,2023,all_days,,,,,,,"(-inf,-40]",35.0,14.17004048582996
bucket,discovery,2023,all_days,,,,,,,"(-40,-15]",52.0,21.052631578947366
bucket,discovery,2023,all_days,,,,,,,"(-15,0)",33.0,13.360323886639677
bucket,discovery,2023,all_days,,,,,,,{0},2.0,0.8097165991902834
bucket,discovery,2023,all_days,,,,,,,"(0,15]",26.0,10.526315789473683
bucket,discovery,2023,all_days,,,,,,,"(15,40]",55.0,22.267206477732792
bucket,discovery,2023,all_days,,,,,,,"(40,inf)",44.0,17.813765182186234
bucket,discovery,ALL,excl_rollover,,,,,,,"(-inf,-40]",85.0,16.44100580270793
bucket,discovery,ALL,excl_rollover,,,,,,,"(-40,-15]",106.0,20.502901353965182
bucket,discovery,ALL,excl_rollover,,,,,,,"(-15,0)",60.0,11.60541586073501
bucket,discovery,ALL,excl_rollover,,,,,,,{0},4.0,0.7736943907156674
bucket,discovery,ALL,excl_rollover,,,,,,,"(0,15]",53.0,10.251450676982591
bucket,discovery,ALL,excl_rollover,,,,,,,"(15,40]",118.0,22.823984526112184
bucket,discovery,ALL,excl_rollover,,,,,,,"(40,inf)",91.0,17.60154738878143
bucket,discovery,2021,excl_rollover,,,,,,,"(-inf,-40]",17.0,18.88888888888889
bucket,discovery,2021,excl_rollover,,,,,,,"(-40,-15]",13.0,14.444444444444443
bucket,discovery,2021,excl_rollover,,,,,,,"(-15,0)",4.0,4.444444444444445
bucket,discovery,2021,excl_rollover,,,,,,,{0},1.0,1.1111111111111112
bucket,discovery,2021,excl_rollover,,,,,,,"(0,15]",8.0,8.88888888888889
bucket,discovery,2021,excl_rollover,,,,,,,"(15,40]",27.0,30.0
bucket,discovery,2021,excl_rollover,,,,,,,"(40,inf)",20.0,22.22222222222222
bucket,discovery,2022,excl_rollover,,,,,,,"(-inf,-40]",42.0,21.31979695431472
bucket,discovery,2022,excl_rollover,,,,,,,"(-40,-15]",41.0,20.812182741116754
bucket,discovery,2022,excl_rollover,,,,,,,"(-15,0)",23.0,11.6751269035533
bucket,discovery,2022,excl_rollover,,,,,,,{0},1.0,0.5076142131979695
bucket,discovery,2022,excl_rollover,,,,,,,"(0,15]",19.0,9.644670050761421
bucket,discovery,2022,excl_rollover,,,,,,,"(15,40]",36.0,18.274111675126903
bucket,discovery,2022,excl_rollover,,,,,,,"(40,inf)",35.0,17.766497461928935
bucket,discovery,2023,excl_rollover,,,,,,,"(-inf,-40]",26.0,11.304347826086957
bucket,discovery,2023,excl_rollover,,,,,,,"(-40,-15]",52.0,22.608695652173914
bucket,discovery,2023,excl_rollover,,,,,,,"(-15,0)",33.0,14.347826086956522
bucket,discovery,2023,excl_rollover,,,,,,,{0},2.0,0.8695652173913043
bucket,discovery,2023,excl_rollover,,,,,,,"(0,15]",26.0,11.304347826086957
bucket,discovery,2023,excl_rollover,,,,,,,"(15,40]",55.0,23.91304347826087
bucket,discovery,2023,excl_rollover,,,,,,,"(40,inf)",36.0,15.65217391304348
bucket,confirm,ALL,all_days,,,,,,,"(-inf,-40]",19.0,7.6
bucket,confirm,ALL,all_days,,,,,,,"(-40,-15]",54.0,21.6
bucket,confirm,ALL,all_days,,,,,,,"(-15,0)",43.0,17.2
bucket,confirm,ALL,all_days,,,,,,,{0},3.0,1.2
bucket,confirm,ALL,all_days,,,,,,,"(0,15]",43.0,17.2
bucket,confirm,ALL,all_days,,,,,,,"(15,40]",60.0,24.0
bucket,confirm,ALL,all_days,,,,,,,"(40,inf)",28.0,11.200000000000001
bucket,confirm,2024,all_days,,,,,,,"(-inf,-40]",19.0,7.6
bucket,confirm,2024,all_days,,,,,,,"(-40,-15]",54.0,21.6
bucket,confirm,2024,all_days,,,,,,,"(-15,0)",43.0,17.2
bucket,confirm,2024,all_days,,,,,,,{0},3.0,1.2
bucket,confirm,2024,all_days,,,,,,,"(0,15]",43.0,17.2
bucket,confirm,2024,all_days,,,,,,,"(15,40]",60.0,24.0
bucket,confirm,2024,all_days,,,,,,,"(40,inf)",28.0,11.200000000000001
bucket,confirm,ALL,excl_rollover,,,,,,,"(-inf,-40]",14.0,5.9071729957805905
bucket,confirm,ALL,excl_rollover,,,,,,,"(-40,-15]",54.0,22.78481012658228
bucket,confirm,ALL,excl_rollover,,,,,,,"(-15,0)",43.0,18.143459915611814
bucket,confirm,ALL,excl_rollover,,,,,,,{0},3.0,1.2658227848101267
bucket,confirm,ALL,excl_rollover,,,,,,,"(0,15]",43.0,18.143459915611814
bucket,confirm,ALL,excl_rollover,,,,,,,"(15,40]",60.0,25.31645569620253
bucket,confirm,ALL,excl_rollover,,,,,,,"(40,inf)",20.0,8.438818565400844
bucket,confirm,2024,excl_rollover,,,,,,,"(-inf,-40]",14.0,5.9071729957805905
bucket,confirm,2024,excl_rollover,,,,,,,"(-40,-15]",54.0,22.78481012658228
bucket,confirm,2024,excl_rollover,,,,,,,"(-15,0)",43.0,18.143459915611814
bucket,confirm,2024,excl_rollover,,,,,,,{0},3.0,1.2658227848101267
bucket,confirm,2024,excl_rollover,,,,,,,"(0,15]",43.0,18.143459915611814
bucket,confirm,2024,excl_rollover,,,,,,,"(15,40]",60.0,25.31645569620253
bucket,confirm,2024,excl_rollover,,,,,,,"(40,inf)",20.0,8.438818565400844
