interaction,value_A,value_B,split,n,n_discovery_cell,na_low_n,target,mean_bps,ci_lo,ci_hi
gap_x_hour1,neg,neg,discovery,143,143,False,ret_10_close_bps,-4.200429332655817,-20.597962484380723,14.103233071084684
gap_x_hour1,neg,pos,discovery,147,147,False,ret_10_close_bps,7.36205549080764,-15.248768384039552,27.49515420068375
gap_x_hour1,neg,zero,discovery,2,2,True,ret_10_close_bps,,,
gap_x_hour1,pos,neg,discovery,146,146,False,ret_10_close_bps,6.016389295257525,-13.48475058397775,24.414557423545673
gap_x_hour1,pos,pos,discovery,165,165,False,ret_10_close_bps,-13.522354487703927,-30.18465722136694,3.4492052086810308
gap_x_hour1,pos,zero,discovery,2,2,True,ret_10_close_bps,,,
gap_x_hour1,zero,neg,discovery,2,2,True,ret_10_close_bps,,,
gap_x_hour1,zero,pos,discovery,2,2,True,ret_10_close_bps,,,
gap_x_hour1,neg,neg,confirm,64,143,False,ret_10_close_bps,-7.51501738374456,-24.11646960999315,11.967673356569925
gap_x_hour1,neg,pos,confirm,52,147,False,ret_10_close_bps,13.531145285106971,-3.41221480349329,30.8207800862634
gap_x_hour1,pos,neg,confirm,72,146,False,ret_10_close_bps,-16.928865140186073,-32.76481671877854,-1.4125957873969117
gap_x_hour1,pos,pos,confirm,59,165,False,ret_10_close_bps,0.9616528014831378,-21.15805040054862,22.541656473355353
gap_x_hour1,zero,neg,confirm,2,2,True,ret_10_close_bps,,,
gap_x_hour1,zero,pos,confirm,1,2,True,ret_10_close_bps,,,
d1_x_gap,neg,neg,discovery,114,114,False,ret_open_close_bps,-2.765127668195218,-25.087422013492308,18.90068779678181
d1_x_gap,neg,pos,discovery,177,177,False,ret_open_close_bps,5.377390678880153,-12.461446999661748,22.777212550349283
d1_x_gap,pos,neg,discovery,176,176,False,ret_open_close_bps,5.219207748185354,-13.145672938041256,23.25112497281778
d1_x_gap,pos,pos,discovery,135,135,False,ret_open_close_bps,-17.943850578111206,-36.306982962924955,2.8202673971566536
d1_x_gap,pos,zero,discovery,4,4,True,ret_open_close_bps,,,
d1_x_gap,zero,neg,discovery,2,2,True,ret_open_close_bps,,,
d1_x_gap,zero,pos,discovery,1,1,True,ret_open_close_bps,,,
d1_x_gap,neg,neg,confirm,43,114,False,ret_open_close_bps,2.797684170335575,-19.41732295711163,24.825885616120093
d1_x_gap,neg,pos,confirm,79,177,False,ret_open_close_bps,-9.35734168154317,-25.79714126865658,6.589716173184708
d1_x_gap,neg,zero,confirm,3,0,True,ret_open_close_bps,,,
d1_x_gap,pos,neg,confirm,73,176,False,ret_open_close_bps,-4.627341911819365,-24.518660070387902,15.146662696002329
