source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id
M15,CONFIRM,10:00,"(-0.05,0.05)",30,76,2.7064788030673057,-2.517612227283048,8.092309752416453,"D2_10:00_(-0.05,0.05)_30"
M15,CONFIRM,10:00,"(-0.05,0.05)",60,76,-1.7170871054960006,-10.301963915590731,7.0369929519272585,"D2_10:00_(-0.05,0.05)_60"
M15,CONFIRM,10:00,"(-0.15,-0.05]",30,66,-1.7193570167138112,-6.530657140292797,3.0405566874097696,"D2_10:00_(-0.15,-0.05]_30"
M15,CONFIRM,10:00,"(-0.15,-0.05]",60,66,0.7150742324712178,-7.655108847348759,8.659708457326241,"D2_10:00_(-0.15,-0.05]_60"
M15,CONFIRM,10:00,"(-inf,-0.15]",30,31,-6.309038394904859,-16.178949969533946,4.297045817989457,"D2_10:00_(-inf,-0.15]_30"
M15,CONFIRM,10:00,"(-inf,-0.15]",60,31,-3.7656663939553043,-17.07394303270696,11.251892290213291,"D2_10:00_(-inf,-0.15]_60"
M15,CONFIRM,10:00,"[0.05,0.15)",30,50,-4.717797871878271,-11.19315993565776,2.4600707083736757,"D2_10:00_[0.05,0.15)_30"
M15,CONFIRM,10:00,"[0.05,0.15)",60,50,-5.369677312347387,-15.072565576166204,5.421821130945374,"D2_10:00_[0.05,0.15)_60"
M15,CONFIRM,10:00,"[0.15,+inf)",30,27,0.5280261786117973,-11.74665785199285,12.468619481166792,"D2_10:00_[0.15,+inf)_30"
M15,CONFIRM,10:00,"[0.15,+inf)",60,27,2.4466334252503383,-19.0482638912005,21.616982013894738,"D2_10:00_[0.15,+inf)_60"
M15,CONFIRM,11:00,"(-0.05,0.05)",30,43,-1.202521092165689,-6.8622071839631555,4.692446399002019,"D2_11:00_(-0.05,0.05)_30"
M15,CONFIRM,11:00,"(-0.05,0.05)",60,43,1.501086590739236,-7.742402689668056,11.094582709302133,"D2_11:00_(-0.05,0.05)_60"
M15,CONFIRM,11:00,"(-0.15,-0.05]",30,44,2.5022445590749967,-4.040337197402523,9.535449533137578,"D2_11:00_(-0.15,-0.05]_30"
M15,CONFIRM,11:00,"(-0.15,-0.05]",60,44,2.2596876260246925,-4.816891815809159,9.951464544950275,"D2_11:00_(-0.15,-0.05]_60"
M15,CONFIRM,11:00,"(-inf,-0.15]",30,72,-5.4016271482989575,-10.236817843981362,-0.5485410548155012,"D2_11:00_(-inf,-0.15]_30"
M15,CONFIRM,11:00,"(-inf,-0.15]",60,72,-4.273240058339757,-11.081600729371962,2.5219527159609725,"D2_11:00_(-inf,-0.15]_60"
M15,CONFIRM,11:00,"[0.05,0.15)",30,33,1.0695551754630832,-5.542085886165196,7.104376234241331,"D2_11:00_[0.05,0.15)_30"
M15,CONFIRM,11:00,"[0.05,0.15)",60,33,-6.6211928608098685,-14.782481367963927,1.2064969410099806,"D2_11:00_[0.05,0.15)_60"
M15,CONFIRM,11:00,"[0.15,+inf)",30,58,-3.9340662702960096,-9.088711932488867,0.897276805149826,"D2_11:00_[0.15,+inf)_30"
M15,CONFIRM,11:00,"[0.15,+inf)",60,58,-4.102887676602668,-11.018383513920249,2.457420604407119,"D2_11:00_[0.15,+inf)_60"
M15,CONFIRM,12:00,"(-0.05,0.05)",30,38,0.30795240658260997,-5.114899171154817,7.241367924151132,"D2_12:00_(-0.05,0.05)_30"
M15,CONFIRM,12:00,"(-0.05,0.05)",60,38,-6.222829526696248,-14.13299135608266,2.375631670966047,"D2_12:00_(-0.05,0.05)_60"
M15,CONFIRM,12:00,"(-0.15,-0.05]",30,39,1.2185091690656378,-5.487294857769473,7.591760118051692,"D2_12:00_(-0.15,-0.05]_30"
M15,CONFIRM,12:00,"(-0.15,-0.05]",60,39,3.872097220366153,-3.824546986966792,12.107477219211177,"D2_12:00_(-0.15,-0.05]_60"
M15,CONFIRM,12:00,"(-inf,-0.15]",30,75,-2.8234906276105285,-6.461122337990537,1.027206379356343,"D2_12:00_(-inf,-0.15]_30"
M15,CONFIRM,12:00,"(-inf,-0.15]",60,75,-1.262074295127568,-5.9671135306574845,4.048186103450845,"D2_12:00_(-inf,-0.15]_60"
M15,CONFIRM,12:00,"[0.05,0.15)",30,37,-0.09750417977656042,-3.867336406331875,3.987508322404695,"D2_12:00_[0.05,0.15)_30"
M15,CONFIRM,12:00,"[0.05,0.15)",60,37,1.3058443978548844,-4.25385223127547,7.195010218919678,"D2_12:00_[0.05,0.15)_60"
M15,CONFIRM,12:00,"[0.15,+inf)",30,61,0.15903829823059282,-4.829640722943067,5.350150970820206,"D2_12:00_[0.15,+inf)_30"
M15,CONFIRM,12:00,"[0.15,+inf)",60,61,1.437337985255682,-4.380824187842228,7.387346385397146,"D2_12:00_[0.15,+inf)_60"
M15,CONFIRM,13:00,"(-0.05,0.05)",30,29,-0.49777909301526707,-5.666232155961538,5.184068613306484,"D2_13:00_(-0.05,0.05)_30"
M15,CONFIRM,13:00,"(-0.05,0.05)",60,29,3.3504564736376348,-3.2095785514088955,10.206707245116469,"D2_13:00_(-0.05,0.05)_60"
M15,CONFIRM,13:00,"(-0.15,-0.05]",30,34,0.3264029778861282,-3.806247627406552,4.474110500006493,"D2_13:00_(-0.15,-0.05]_30"
M15,CONFIRM,13:00,"(-0.15,-0.05]",60,34,1.6962900302136545,-4.780781575969014,8.35233726746646,"D2_13:00_(-0.15,-0.05]_60"
M15,CONFIRM,13:00,"(-inf,-0.15]",30,85,-1.0727363181809115,-3.6649490382583534,1.2783970963527875,"D2_13:00_(-inf,-0.15]_30"
M15,CONFIRM,13:00,"(-inf,-0.15]",60,85,-3.214449313597671,-7.607142711903032,0.887914976088767,"D2_13:00_(-inf,-0.15]_60"
M15,CONFIRM,13:00,"[0.05,0.15)",30,37,3.1213780860961986,-1.1447633275237092,7.466911470455619,"D2_13:00_[0.05,0.15)_30"
M15,CONFIRM,13:00,"[0.05,0.15)",60,37,5.50363905756507,-1.3097126404542982,12.224435706762769,"D2_13:00_[0.05,0.15)_60"
M15,CONFIRM,13:00,"[0.15,+inf)",30,65,-2.5882363351576845,-5.698224361085506,0.7132155932845722,"D2_13:00_[0.15,+inf)_30"
M15,CONFIRM,13:00,"[0.15,+inf)",60,65,-2.2191801487921965,-6.121284969798107,1.7812994869784524,"D2_13:00_[0.15,+inf)_60"
M15,CONFIRM,14:00,"(-0.05,0.05)",30,33,2.329758151145741,-2.8044836462024683,7.3927443484944275,"D2_14:00_(-0.05,0.05)_30"
M15,CONFIRM,14:00,"(-0.05,0.05)",60,33,3.8593303198703413,-2.065337242520488,10.326801252545543,"D2_14:00_(-0.05,0.05)_60"
M15,CONFIRM,14:00,"(-0.15,-0.05]",30,27,0.6930563625999424,-4.637624816623973,5.749424970033787,"D2_14:00_(-0.15,-0.05]_30"
M15,CONFIRM,14:00,"(-0.15,-0.05]",60,27,1.1517808005499115,-4.9646659373267585,7.471768996704754,"D2_14:00_(-0.15,-0.05]_60"
M15,CONFIRM,14:00,"(-inf,-0.15]",30,86,0.4422358254335418,-2.188148836007049,3.1597584415898763,"D2_14:00_(-inf,-0.15]_30"
M15,CONFIRM,14:00,"(-inf,-0.15]",60,86,1.1341327152900753,-2.640960163868934,4.959242977125104,"D2_14:00_(-inf,-0.15]_60"
M15,CONFIRM,14:00,"[0.05,0.15)",30,24,0.257130002630316,-4.936628070138421,6.624935017461373,"D2_14:00_[0.05,0.15)_30"
M15,CONFIRM,14:00,"[0.05,0.15)",60,24,-0.9939116088209431,-9.708022006747527,7.9539368270675626,"D2_14:00_[0.05,0.15)_60"
M15,CONFIRM,14:00,"[0.15,+inf)",30,80,-1.1556798027138329,-4.5366569088290225,2.1944531742290225,"D2_14:00_[0.15,+inf)_30"
M15,CONFIRM,14:00,"[0.15,+inf)",60,80,-0.5484011084418845,-4.009215204499539,3.1396887946707555,"D2_14:00_[0.15,+inf)_60"
M15,CONFIRM,15:00,"(-0.05,0.05)",30,30,-1.16859958898811,-6.4998982940943035,4.437522407705063,"D2_15:00_(-0.05,0.05)_30"
M15,CONFIRM,15:00,"(-0.05,0.05)",60,30,-1.8171796966680582,-9.002231669479583,4.8122143439111715,"D2_15:00_(-0.05,0.05)_60"
M15,CONFIRM,15:00,"(-0.15,-0.05]",30,38,-1.4993334368702305,-6.185081107517757,3.3972253102119607,"D2_15:00_(-0.15,-0.05]_30"
M15,CONFIRM,15:00,"(-0.15,-0.05]",60,38,-0.41073171051654905,-6.439045933115736,5.177085151717445,"D2_15:00_(-0.15,-0.05]_60"
M15,CONFIRM,15:00,"(-inf,-0.15]",30,72,0.08271328318805299,-2.7744856039120034,2.7449814743321688,"D2_15:00_(-inf,-0.15]_30"
M15,CONFIRM,15:00,"(-inf,-0.15]",60,72,-1.7399704881665887,-5.876722214486855,2.5369406025601378,"D2_15:00_(-inf,-0.15]_60"
M15,CONFIRM,15:00,"[0.05,0.15)",30,30,1.4320698116396433,-2.827118783949154,5.922518551091012,"D2_15:00_[0.05,0.15)_30"
M15,CONFIRM,15:00,"[0.05,0.15)",60,30,3.733018009537477,-1.6196864118849306,8.638082464832102,"D2_15:00_[0.05,0.15)_60"
M15,CONFIRM,15:00,"[0.15,+inf)",30,80,2.713332625947986,-0.12430082298132876,5.481061071495204,"D2_15:00_[0.15,+inf)_30"
M15,CONFIRM,15:00,"[0.15,+inf)",60,80,2.008903577115986,-1.7399456749660438,6.049153907792974,"D2_15:00_[0.15,+inf)_60"
M15,CONFIRM,16:00,"(-0.05,0.05)",30,38,3.550914315824398,0.8572290337254724,5.877442153305097,"D2_16:00_(-0.05,0.05)_30"
M15,CONFIRM,16:00,"(-0.05,0.05)",60,38,1.8598894551105205,-2.8579516165930783,6.380711882443042,"D2_16:00_(-0.05,0.05)_60"
M15,CONFIRM,16:00,"(-0.15,-0.05]",30,30,0.472060034839128,-2.8910622096917176,3.6240636208829864,"D2_16:00_(-0.15,-0.05]_30"
M15,CONFIRM,16:00,"(-0.15,-0.05]",60,30,1.4706191228925543,-3.8933798602122813,7.2515790525299115,"D2_16:00_(-0.15,-0.05]_60"
M15,CONFIRM,16:00,"(-inf,-0.15]",30,72,0.3812106408037579,-2.3030597346751835,3.0958212174521056,"D2_16:00_(-inf,-0.15]_30"
M15,CONFIRM,16:00,"(-inf,-0.15]",60,72,3.557011931421874,-2.295345237649001,10.759367252808522,"D2_16:00_(-inf,-0.15]_60"
M15,CONFIRM,16:00,"[0.05,0.15)",30,33,-0.9399568227890838,-4.138244388736435,2.3601662860896653,"D2_16:00_[0.05,0.15)_30"
M15,CONFIRM,16:00,"[0.05,0.15)",60,33,-0.7260343038224271,-6.514963809421048,4.59538606448923,"D2_16:00_[0.05,0.15)_60"
M15,CONFIRM,16:00,"[0.15,+inf)",30,77,0.2086046113109568,-2.6449225587115235,3.1139845351213706,"D2_16:00_[0.15,+inf)_30"
M15,CONFIRM,16:00,"[0.15,+inf)",60,77,-0.5547948461660847,-4.0109333115654575,2.858766325858967,"D2_16:00_[0.15,+inf)_60"
M15,DISCOVERY,10:00,"(-0.05,0.05)",30,224,3.6362610512850204,-1.3722006529900197,8.643735993989068,"D2_10:00_(-0.05,0.05)_30"
M15,DISCOVERY,10:00,"(-0.05,0.05)",60,224,9.72560131412013,2.8509312759563166,17.130384202462718,"D2_10:00_(-0.05,0.05)_60"
M15,DISCOVERY,10:00,"(-0.15,-0.05]",30,155,0.2341964233919422,-5.116259595823583,5.64617808555492,"D2_10:00_(-0.15,-0.05]_30"
M15,DISCOVERY,10:00,"(-0.15,-0.05]",60,155,-0.8684900968010971,-10.464986925548594,9.1871978803215,"D2_10:00_(-0.15,-0.05]_60"
M15,DISCOVERY,10:00,"(-inf,-0.15]",30,24,-9.184006012700195,-28.117898180970915,9.937447321679697,"D2_10:00_(-inf,-0.15]_30"
M15,DISCOVERY,10:00,"(-inf,-0.15]",60,24,1.9158058336643986,-20.899149051774334,28.00081563163081,"D2_10:00_(-inf,-0.15]_60"
M15,DISCOVERY,10:00,"[0.05,0.15)",30,152,-0.5149571670073393,-6.786950321967566,5.727377857439063,"D2_10:00_[0.05,0.15)_30"
M15,DISCOVERY,10:00,"[0.05,0.15)",60,152,-1.5512128652038213,-10.08330094336249,6.8702987605498596,"D2_10:00_[0.05,0.15)_60"
M15,DISCOVERY,10:00,"[0.15,+inf)",30,35,-12.992211293947884,-26.68658185936762,-0.22518652416444723,"D2_10:00_[0.15,+inf)_30"
M15,DISCOVERY,10:00,"[0.15,+inf)",60,35,-23.24617504249745,-42.96027122358194,-6.0558260512862985,"D2_10:00_[0.15,+inf)_60"
M15,DISCOVERY,11:00,"(-0.05,0.05)",30,124,-3.1105453528458247,-9.72300831151405,3.8500501322077025,"D2_11:00_(-0.05,0.05)_30"
M15,DISCOVERY,11:00,"(-0.05,0.05)",60,124,-1.5168682253523484,-10.193852925281135,8.26849886702627,"D2_11:00_(-0.05,0.05)_60"
M15,DISCOVERY,11:00,"(-0.15,-0.05]",30,89,-2.806278462815969,-9.843579622919043,4.468608542246228,"D2_11:00_(-0.15,-0.05]_30"
M15,DISCOVERY,11:00,"(-0.15,-0.05]",60,89,2.075538633475497,-7.89417520852342,11.828751779208833,"D2_11:00_(-0.15,-0.05]_60"
M15,DISCOVERY,11:00,"(-inf,-0.15]",30,128,-1.7993826642801258,-7.928047167208172,4.64064208373582,"D2_11:00_(-inf,-0.15]_30"
M15,DISCOVERY,11:00,"(-inf,-0.15]",60,128,-4.074748270275521,-12.741027697984354,5.366828475459373,"D2_11:00_(-inf,-0.15]_60"
M15,DISCOVERY,11:00,"[0.05,0.15)",30,104,-4.539079324627718,-11.341776392748098,1.9506500247174061,"D2_11:00_[0.05,0.15)_30"
M15,DISCOVERY,11:00,"[0.05,0.15)",60,104,-6.9672529766244224,-16.669764938279233,2.3486341453236603,"D2_11:00_[0.05,0.15)_60"
M15,DISCOVERY,11:00,"[0.15,+inf)",30,145,-1.3630699393884067,-6.385002874770748,3.7249089813859677,"D2_11:00_[0.15,+inf)_30"
M15,DISCOVERY,11:00,"[0.15,+inf)",60,145,-2.789951375328647,-10.755004973748072,4.611473517709257,"D2_11:00_[0.15,+inf)_60"
M15,DISCOVERY,12:00,"(-0.05,0.05)",30,103,2.6164737074668443,-2.599524245479074,7.3533926484780086,"D2_12:00_(-0.05,0.05)_30"
M15,DISCOVERY,12:00,"(-0.05,0.05)",60,103,2.1250591684763807,-4.846917816627313,8.644162318160307,"D2_12:00_(-0.05,0.05)_60"
M15,DISCOVERY,12:00,"(-0.15,-0.05]",30,89,-0.4588038308226127,-6.904426359703297,6.2214928500813915,"D2_12:00_(-0.15,-0.05]_30"
M15,DISCOVERY,12:00,"(-0.15,-0.05]",60,89,0.9095253112266146,-7.7755347302627,9.656558395432056,"D2_12:00_(-0.15,-0.05]_60"
M15,DISCOVERY,12:00,"(-inf,-0.15]",30,158,-1.9076037753711346,-6.278707319323741,1.991421838328365,"D2_12:00_(-inf,-0.15]_30"
M15,DISCOVERY,12:00,"(-inf,-0.15]",60,158,0.06341312450288988,-5.624444822606611,6.074745871927977,"D2_12:00_(-inf,-0.15]_60"
M15,DISCOVERY,12:00,"[0.05,0.15)",30,88,2.093487897947214,-5.12419569474384,9.616466307945394,"D2_12:00_[0.05,0.15)_30"
M15,DISCOVERY,12:00,"[0.05,0.15)",60,88,1.6898816887720136,-7.662006945323208,10.045754062861391,"D2_12:00_[0.05,0.15)_60"
M15,DISCOVERY,12:00,"[0.15,+inf)",30,152,1.0667825853173445,-3.1173021793285587,5.364402161437147,"D2_12:00_[0.15,+inf)_30"
M15,DISCOVERY,12:00,"[0.15,+inf)",60,152,0.36572171437658696,-5.553040719973942,6.359061491507846,"D2_12:00_[0.15,+inf)_60"
M15,DISCOVERY,13:00,"(-0.05,0.05)",30,95,-1.6944451443715067,-6.264125196234202,2.6496569716695832,"D2_13:00_(-0.05,0.05)_30"
M15,DISCOVERY,13:00,"(-0.05,0.05)",60,95,-3.4926858515597368,-8.751081436854594,1.708641548073221,"D2_13:00_(-0.05,0.05)_60"
M15,DISCOVERY,13:00,"(-0.15,-0.05]",30,70,0.3009854095975537,-3.69124584220105,4.012314254838717,"D2_13:00_(-0.15,-0.05]_30"
M15,DISCOVERY,13:00,"(-0.15,-0.05]",60,70,-1.3275864844635334,-7.752439480276699,4.524464585690502,"D2_13:00_(-0.15,-0.05]_60"
M15,DISCOVERY,13:00,"(-inf,-0.15]",30,170,0.8278812207338896,-2.3683361904900835,4.050742956746479,"D2_13:00_(-inf,-0.15]_30"
M15,DISCOVERY,13:00,"(-inf,-0.15]",60,170,1.6862238048831795,-3.0046502178203784,6.193253143178792,"D2_13:00_(-inf,-0.15]_60"
M15,DISCOVERY,13:00,"[0.05,0.15)",30,85,-2.9575808029413166,-7.091699672813334,1.7895848056744688,"D2_13:00_[0.05,0.15)_30"
M15,DISCOVERY,13:00,"[0.05,0.15)",60,85,-4.543972182750685,-10.71573139422723,2.4368181336196213,"D2_13:00_[0.05,0.15)_60"
M15,DISCOVERY,13:00,"[0.15,+inf)",30,170,0.8011918192560802,-1.9551805291676763,3.5639941076447337,"D2_13:00_[0.15,+inf)_30"
M15,DISCOVERY,13:00,"[0.15,+inf)",60,170,1.3576088515216442,-2.2300986860839327,5.369655351024028,"D2_13:00_[0.15,+inf)_60"
M15,DISCOVERY,14:00,"(-0.05,0.05)",30,102,-7.546958419540938,-11.582998126940971,-3.4680096833538405,"D2_14:00_(-0.05,0.05)_30"
M15,DISCOVERY,14:00,"(-0.05,0.05)",60,102,-8.875448496850929,-14.86705466967063,-3.0749552882859623,"D2_14:00_(-0.05,0.05)_60"
M15,DISCOVERY,14:00,"(-0.15,-0.05]",30,86,2.3872184128938163,-3.213429729447694,7.900723259396766,"D2_14:00_(-0.15,-0.05]_30"
M15,DISCOVERY,14:00,"(-0.15,-0.05]",60,86,2.5991179258667225,-5.886670774175321,10.19013862875347,"D2_14:00_(-0.15,-0.05]_60"
M15,DISCOVERY,14:00,"(-inf,-0.15]",30,162,1.779235105395759,-2.2082667314965265,5.78344084116252,"D2_14:00_(-inf,-0.15]_30"
M15,DISCOVERY,14:00,"(-inf,-0.15]",60,162,0.14657499410535857,-5.088868062182416,5.24525130705048,"D2_14:00_(-inf,-0.15]_60"
M15,DISCOVERY,14:00,"[0.05,0.15)",30,73,-1.4110763592166418,-5.798034096683601,3.2972635584914523,"D2_14:00_[0.05,0.15)_30"
M15,DISCOVERY,14:00,"[0.05,0.15)",60,73,0.34442598835471927,-6.444016689803025,8.028599536169114,"D2_14:00_[0.05,0.15)_60"
M15,DISCOVERY,14:00,"[0.15,+inf)",30,167,0.9624897043903384,-2.189544767427771,3.90709151226473,"D2_14:00_[0.15,+inf)_30"
M15,DISCOVERY,14:00,"[0.15,+inf)",60,167,0.4057956783180451,-3.5269146757046057,4.515749002320762,"D2_14:00_[0.15,+inf)_60"
M15,DISCOVERY,15:00,"(-0.05,0.05)",30,93,-2.525061467145945,-6.7918792324717225,1.9895182908896705,"D2_15:00_(-0.05,0.05)_30"
M15,DISCOVERY,15:00,"(-0.05,0.05)",60,93,0.19231289597830845,-6.226578148330104,5.840274534522301,"D2_15:00_(-0.05,0.05)_60"
M15,DISCOVERY,15:00,"(-0.15,-0.05]",30,83,-1.3928006869269411,-6.556022599316633,3.9721560774584987,"D2_15:00_(-0.15,-0.05]_30"
M15,DISCOVERY,15:00,"(-0.15,-0.05]",60,83,0.2613768595540124,-5.8134725049618,7.760977197110852,"D2_15:00_(-0.15,-0.05]_60"
M15,DISCOVERY,15:00,"(-inf,-0.15]",30,166,-0.970173775074073,-4.782963248976183,2.776059791324792,"D2_15:00_(-inf,-0.15]_30"
M15,DISCOVERY,15:00,"(-inf,-0.15]",60,166,-2.4732835852042263,-7.60763425395697,2.858495353994511,"D2_15:00_(-inf,-0.15]_60"
M15,DISCOVERY,15:00,"[0.05,0.15)",30,86,-3.229087361699599,-8.289200523673308,1.4956565637045542,"D2_15:00_[0.05,0.15)_30"
M15,DISCOVERY,15:00,"[0.05,0.15)",60,86,-4.10361596092994,-11.089373088138387,2.9427316776313712,"D2_15:00_[0.05,0.15)_60"
M15,DISCOVERY,15:00,"[0.15,+inf)",30,162,1.262083972659363,-2.0297989386854884,4.926223730456582,"D2_15:00_[0.15,+inf)_30"
M15,DISCOVERY,15:00,"[0.15,+inf)",60,162,0.5888812675030897,-3.9278608869544556,5.403618784484552,"D2_15:00_[0.15,+inf)_60"
M15,DISCOVERY,16:00,"(-0.05,0.05)",30,89,3.15455848296435,-0.8920068560081745,6.977149399024553,"D2_16:00_(-0.05,0.05)_30"
M15,DISCOVERY,16:00,"(-0.05,0.05)",60,89,4.765500804461181,-2.223147455984449,11.10631618231939,"D2_16:00_(-0.05,0.05)_60"
M15,DISCOVERY,16:00,"(-0.15,-0.05]",30,74,-3.094148930762725,-8.463872355260282,2.4106093305134575,"D2_16:00_(-0.15,-0.05]_30"
M15,DISCOVERY,16:00,"(-0.15,-0.05]",60,74,-6.745395339910762,-14.328395606225206,0.5194970769977081,"D2_16:00_(-0.15,-0.05]_60"
M15,DISCOVERY,16:00,"(-inf,-0.15]",30,178,0.27016376152595506,-3.6655365766436603,4.124998336430937,"D2_16:00_(-inf,-0.15]_30"
M15,DISCOVERY,16:00,"(-inf,-0.15]",60,178,0.4252413088277472,-5.824430862360623,7.246103681229266,"D2_16:00_(-inf,-0.15]_60"
M15,DISCOVERY,16:00,"[0.05,0.15)",30,78,-3.032128423752722,-6.887836475004562,1.1104326784977865,"D2_16:00_[0.05,0.15)_30"
M15,DISCOVERY,16:00,"[0.05,0.15)",60,78,-1.3862979634009622,-8.051495761684992,5.469669498658973,"D2_16:00_[0.05,0.15)_60"
M15,DISCOVERY,16:00,"[0.15,+inf)",30,171,1.1641097576751795,-2.2600647866367125,4.677113344611984,"D2_16:00_[0.15,+inf)_30"
M15,DISCOVERY,16:00,"[0.15,+inf)",60,171,0.2579897503080382,-4.642114029921154,5.351271437659415,"D2_16:00_[0.15,+inf)_60"
