split,checkpoint,dev_sign,vwap_slope_sign,n,mean_ret_fwd60_bps,ci_lo,ci_hi,test_id
CONFIRM,10:00,neg,neg,118,-3.208789720205779,-9.97913779042487,3.617596647713895,D4_10:00_neg_neg
CONFIRM,10:00,neg,pos,24,-6.512864509125351,-21.546266838563977,8.639300794529836,D4_10:00_neg_pos
CONFIRM,10:00,pos,neg,21,7.228563089314669,-7.558920406500137,24.762397385925627,D4_10:00_pos_neg
CONFIRM,10:00,pos,pos,87,-0.22204634132342713,-9.897706784473332,9.27892348704571,D4_10:00_pos_pos
DISCOVERY,10:00,neg,neg,239,5.301108099826771,-2.1947998159847737,13.378558160245444,D4_10:00_neg_neg
DISCOVERY,10:00,neg,pos,59,0.38825917319572745,-13.267587794402248,14.168377590911707,D4_10:00_neg_pos
DISCOVERY,10:00,pos,neg,48,0.8588911014838457,-15.583471673364796,16.930060702407182,D4_10:00_pos_neg
DISCOVERY,10:00,pos,pos,264,-1.6093275187070846,-7.7076560222545885,4.740232731109807,D4_10:00_pos_pos
CONFIRM,11:00,neg,neg,125,-2.3435250113895028,-7.538286324477683,2.6788030913601046,D4_11:00_neg_neg
CONFIRM,11:00,neg,pos,13,1.344323768358494,-15.058218008477855,14.989257660850415,D4_11:00_neg_pos
CONFIRM,11:00,pos,neg,19,-1.224436933885467,-17.595151294826493,13.581216482898842,D4_11:00_pos_neg
CONFIRM,11:00,pos,pos,93,-3.2412735024130983,-8.377601479370117,1.7618442731020922,D4_11:00_pos_pos
DISCOVERY,11:00,neg,neg,254,-2.633212803616863,-8.46771010770072,3.2661985470969106,D4_11:00_neg_neg
DISCOVERY,11:00,neg,pos,34,5.6998863395987,-16.230495125287074,27.02915003774265,D4_11:00_neg_pos
DISCOVERY,11:00,pos,neg,58,-0.909795703449902,-14.127965845673035,14.329540060116084,D4_11:00_pos_neg
DISCOVERY,11:00,pos,pos,264,-5.655687335208289,-10.889590018275209,0.25558651736525945,D4_11:00_pos_pos
CONFIRM,12:00,neg,neg,120,-0.8363158320368788,-4.739918075904311,3.2608098825168597,D4_12:00_neg_neg
CONFIRM,12:00,neg,pos,16,2.5652041172185434,-12.15639144715691,20.046631416788966,D4_12:00_neg_pos
CONFIRM,12:00,pos,neg,10,-0.8554387384522848,-21.36231731045589,23.759716746756947,D4_12:00_pos_neg
CONFIRM,12:00,pos,pos,104,0.22838056365321024,-3.6313081760276704,4.39853057979112,D4_12:00_pos_pos
DISCOVERY,12:00,neg,neg,273,0.9643498495570382,-3.4496713777686874,5.155117829849696,D4_12:00_neg_neg
DISCOVERY,12:00,neg,pos,37,-3.5546977704079077,-15.844658585188588,7.729292416481833,D4_12:00_neg_pos
DISCOVERY,12:00,pos,neg,34,-3.120476962859324,-16.5162647106579,10.550350543909733,D4_12:00_pos_neg
DISCOVERY,12:00,pos,pos,266,2.5961881569508827,-2.131233937618565,7.006443324583672,D4_12:00_pos_pos
CONFIRM,13:00,neg,neg,128,-1.4418930190614192,-4.926277226452614,1.6302882774458447,D4_13:00_neg_neg
CONFIRM,13:00,neg,pos,4,3.9446902497825014,-8.121321358541822,17.017313748556585,D4_13:00_neg_pos
CONFIRM,13:00,pos,neg,5,-6.934827277002233,-28.73729023105387,19.71187352888714,D4_13:00_pos_neg
CONFIRM,13:00,pos,pos,113,1.278358622930186,-1.8013874585555185,4.713553175687851,D4_13:00_pos_pos
DISCOVERY,13:00,neg,neg,276,-0.4772422908061738,-3.8060617149440708,2.8071706903330473,D4_13:00_neg_neg
DISCOVERY,13:00,neg,pos,21,-7.677749279624014,-21.702128777994233,5.990743797540741,D4_13:00_neg_pos
DISCOVERY,13:00,pos,neg,24,-0.8852025378439112,-14.563305223971748,12.07567961248081,D4_13:00_pos_neg
DISCOVERY,13:00,pos,pos,289,0.12058507920675611,-2.7304450628799697,3.2542515377937122,D4_13:00_pos_pos
CONFIRM,14:00,neg,neg,122,1.2937396975989806,-1.6408782246996194,4.346581627654103,D4_14:00_neg_neg
CONFIRM,14:00,neg,pos,4,-1.1848950035944776,-19.914324212474966,17.544534205286013,D4_14:00_neg_pos
CONFIRM,14:00,pos,neg,8,2.584496749465093,-9.402346818566338,14.570557938762787,D4_14:00_pos_neg
