source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,CONFIRM,10:00,"(-0.05,0.05)",30,76,2.7064788030673057,-2.517612227283048,8.092309752416453,"D2_10:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"(-0.05,0.05)",60,76,-1.7170871054960006,-10.301963915590731,7.0369929519272585,"D2_10:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"(-0.15,-0.05]",30,66,-1.7193570167138112,-6.530657140292797,3.0405566874097696,"D2_10:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"(-0.15,-0.05]",60,66,0.7150742324712178,-7.655108847348759,8.659708457326241,"D2_10:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"(-inf,-0.15]",30,31,-6.309038394904859,-16.178949969533946,4.297045817989457,"D2_10:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"(-inf,-0.15]",60,31,-3.7656663939553043,-17.07394303270696,11.251892290213291,"D2_10:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"[0.05,0.15)",30,50,-4.717797871878271,-11.19315993565776,2.4600707083736757,"D2_10:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"[0.05,0.15)",60,50,-5.369677312347387,-15.072565576166204,5.421821130945374,"D2_10:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"[0.15,+inf)",30,27,0.5280261786117973,-11.74665785199285,12.468619481166792,"D2_10:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,10:00,"[0.15,+inf)",60,27,2.4466334252503383,-19.0482638912005,21.616982013894738,"D2_10:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,11:00,"(-0.05,0.05)",30,43,-1.202521092165689,-6.8622071839631555,4.692446399002019,"D2_11:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,11:00,"(-0.05,0.05)",60,43,1.501086590739236,-7.742402689668056,11.094582709302133,"D2_11:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,11:00,"(-0.15,-0.05]",30,44,2.5022445590749967,-4.040337197402523,9.535449533137578,"D2_11:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,11:00,"(-0.15,-0.05]",60,44,2.2596876260246925,-4.816891815809159,9.951464544950275,"D2_11:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,11:00,"(-inf,-0.15]",30,71,-5.772047437819205,-10.654170004352714,-0.5688718731604435,"D2_11:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,11:00,"(-inf,-0.15]",60,71,-4.379597680608874,-11.278072692531785,2.304057348504405,"D2_11:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
