date,instrument,weekday,year,dst_regime,anchor_time_local,n_bars_day,first_bar_time,last_bar_time,is_roll,day_open,day_close,ret_day,gap_on,anchor_found,anchor_late,valid_for_conditional,ret_morning,ret_post,ret_ny30,ret_post_after30,ret_ny60,morning_high,morning_low,range_morning_pts,range_morning_pct,tr_sum_morning,volu_morning,tr_sum_post,volu_post,vol_par,broke_high,broke_low,t_first_break,false_break_high,false_break_low
2021-07-19,WDO,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5165.0,5258.0,0.018005808325266326,,True,False,True,0.0034849951597288875,0.014470383947520649,0.0016399768473855936,0.012809399980737712,0.004823461315840216,5209.0,5159.0,50.0,0.00968054211035818,134.5,355725,376.0,885131,0.5591078066914498,True,False,30.0,False,False
2021-07-20,WDO,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5247.5,5228.5,-0.003620771796093325,-0.0019969570178774987,True,False,True,0.008670795616960492,-0.012185905913470574,-0.006329113924050667,-0.005894096396995896,-0.008312866049499323,5294.5,5238.0,56.5,0.010767031919961886,109.5,346440,401.0,774291,0.7324200913242009,True,True,0.0,False,False
2021-07-21,WDO,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5238.5,5193.0,-0.008685692469218242,0.0019125944343501011,True,False,True,0.0033406509496993753,-0.011986301369863006,-0.0013318112633181611,-0.010668698799771392,0.0022831050228311334,5274.0,5233.5,40.5,0.00773122076930419,112.0,334002,339.5,795516,0.60625,True,True,60.0,False,False
2021-07-22,WDO,Thursday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5188.0,5208.5,0.003951426368542732,-0.0009628345850183351,True,False,True,0.0013492675404780385,0.002598652550529268,0.003272377285851835,-0.0006715272448196696,0.002406159769008598,5205.0,5173.0,32.0,0.006168080185042405,127.0,344967,345.5,711877,0.5440944881889764,True,False,0.0,False,False
2021-07-23,WDO,Friday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5202.5,5205.0,0.00048053820278703974,-0.001151963137179579,True,False,True,-0.006246996636232627,0.0067698259187620735,0.0024177949709864865,0.004341534008682979,0.0036750483558993796,5203.0,5163.5,39.5,0.007592503604036521,74.5,238983,328.5,662800,0.8818791946308725,True,True,90.0,False,False
2021-07-26,WDO,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5195.0,5180.0,-0.002887391722810384,-0.0019212295869356355,True,False,True,0.004523580365736191,-0.007377598926894713,-0.0067069081153587895,-0.0006752194463200967,-0.006994347034588455,5233.5,5192.5,41.0,0.007892204042348411,120.0,279259,277.5,644296,0.4625,False,True,0.0,False,False
2021-07-27,WDO,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5196.0,5172.0,-0.004618937644341847,0.003088803088802994,True,False,True,-0.004234026173979943,-0.00038654812524163695,-0.0011596443757247998,0.0007739938080495445,-0.0012562814070351536,5208.5,5170.0,38.5,0.007409545804464973,123.0,338421,281.5,638343,0.45772357723577234,False,True,15.0,False,True
2021-07-28,WDO,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5173.5,5120.5,-0.010244515318449832,0.0002900232018561155,True,False,True,-0.002319512902290488,-0.007943427298266026,-0.0046498111014240395,-0.003309002433090069,-0.0039717136491329574,5179.5,5151.5,28.0,0.005412196772011211,85.0,264174,390.0,838860,0.9176470588235295,True,True,0.0,False,False
2021-07-29,WDO,Thursday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,5087.5,5080.0,-0.0014742014742015197,-0.0064446831364124435,True,False,True,-0.0012776412776412949,-0.00019681165124973976,0.0010824640818736242,-0.0012778924604345265,-0.0031489864199960582,5092.0,5070.5,21.5,0.004226044226044226,75.0,232060,308.5,650661,0.8226666666666667,False,True,30.0,False,True
2021-07-30,WDO,Friday,2021,EDT,10:30:00,36,09:00:00,17:45:00,True,5098.5,5234.0,0.0265764440521723,,True,False,True,0.004118858487790478,0.0223654653774783,-0.0017579841781424355,0.024165932883279506,0.003613634143959432,5144.5,5098.5,46.0,0.009022261449445915,123.5,242948,422.5,693853,0.6842105263157895,True,False,60.0,False,False
