date,weekday,year,n_bars_day,day_open,day_close,day_high,day_low,day_range_pts,ret_open_close,last_bar_time,or15_high,or15_low,or15_width_pts,or15_width_pct,or15_open,or15_close,or15_ret,or15_broke,or15_side,or15_breakout_time,or15_false_break,or15_time_to_return_min,or15_continuation_pts,or15_continuation_pct,or15_typology,or15_rest_of_day_ret,or15_day_range_ratio,or30_high,or30_low,or30_width_pts,or30_width_pct,or30_open,or30_close,or30_ret,or30_broke,or30_side,or30_breakout_time,or30_false_break,or30_time_to_return_min,or30_continuation_pts,or30_continuation_pct,or30_typology,or30_rest_of_day_ret,or30_day_range_ratio,or60_high,or60_low,or60_width_pts,or60_width_pct,or60_open,or60_close,or60_ret,or60_broke,or60_side,or60_breakout_time,or60_false_break,or60_time_to_return_min,or60_continuation_pts,or60_continuation_pct,or60_typology,or60_rest_of_day_ret,or60_day_range_ratio,instrument,timeframe,is_roll,or15_width_tercile,or30_width_tercile,or60_width_tercile
2022-12-26,Monday,2022,66,5195.5,5221.0,5226.5,5194.0,32.5,0.004908093542488778,18:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDO,M5,False,,,
2022-12-27,Tuesday,2022,114,5196.5,5296.5,5303.5,5195.0,108.5,0.019243721735783703,18:25:00,5246.0,5195.0,51.0,0.009814298085249687,5196.5,5242.0,0.008755893389781555,True,up,09:15:00,True,10.0,50.5,0.0096263820053374,weak_trend,0.010396795116367707,0.4700460829493088,5252.0,5195.0,57.0,0.010968921389396709,5196.5,5246.0,0.00952564225921293,True,up,09:30:00,False,,44.5,0.008472962680883473,weak_trend,0.009626382005337497,0.5253456221198156,5277.0,5195.0,82.0,0.015779851823342635,5196.5,5274.0,0.014913884345232331,True,up,10:00:00,True,0.0,19.5,0.003695281409891984,weak_trend,0.00426621160409546,0.7557603686635944,WDO,M5,False,largo,largo,largo
2022-12-28,Wednesday,2022,114,5266.5,5270.5,5289.5,5228.5,61.0,0.0007595177062564851,18:25:00,5277.0,5255.0,22.0,0.0041773473844108995,5266.5,5268.0,0.0002848191398461264,True,up,10:00:00,True,0.0,-6.5,-0.0012317604699639947,range,0.0004745634016705136,0.36065573770491804,5277.0,5255.0,22.0,0.0041773473844108995,5266.5,5261.5,-0.0009493971328206063,True,up,10:00:00,True,0.0,-6.5,-0.0012317604699639947,range,0.001710538819728269,0.36065573770491804,5277.0,5255.0,22.0,0.0041773473844108995,5266.5,5271.0,0.0008544574195386012,True,up,10:00:00,True,0.0,-6.5,-0.0012317604699639947,range,-9.485866059566472e-05,0.36065573770491804,WDO,M5,False,largo,medio,estreito
2022-12-29,Thursday,2022,114,5280.0,5321.5,5338.0,5225.0,113.0,0.007859848484848442,18:25:00,5298.5,5270.5,28.0,0.005303030303030303,5280.0,5279.5,-9.469696969699459e-05,True,down,09:20:00,True,0.0,-51.0,-0.009676501280713404,reversal,0.007955298797234667,0.24778761061946902,5298.5,5266.5,32.0,0.006060606060606061,5280.0,5267.0,-0.0024621212121211933,True,down,09:30:00,True,10.0,-55.0,-0.010443368461027247,reversal,0.01034744636415419,0.2831858407079646,5298.5,5239.0,59.5,0.011268939393939394,5280.0,5242.0,-0.007196969696969702,True,down,10:00:00,True,30.0,-82.5,-0.01574728001527009,reversal,0.015165967188096152,0.5265486725663717,WDO,M5,True,largo,largo,largo
2023-01-02,Monday,2023,114,5327.0,5400.0,5400.0,5320.5,79.5,0.01370377323071148,18:25:00,5382.0,5320.5,61.5,0.011544959639571991,5327.0,5377.5,0.009480007508916755,True,up,09:15:00,True,0.0,18.0,0.0033444816053511705,weak_trend,0.004184100418409997,0.7735849056603774,5393.5,5320.5,73.0,0.01370377323071147,5327.0,5375.0,0.009010700206495192,True,up,10:55:00,True,0.0,6.5,0.001205154352461296,weak_trend,0.0046511627906977715,0.9182389937106918,5393.5,5320.5,73.0,0.01370377323071147,5327.0,5383.0,0.010512483574244502,True,up,10:55:00,True,0.0,6.5,0.001205154352461296,weak_trend,0.003158090284228088,0.9182389937106918,WDO,M5,False,largo,largo,largo
2023-01-03,Tuesday,2023,114,5423.0,5504.5,5509.5,5370.5,139.0,0.01502858196570167,18:25:00,5438.5,5402.5,36.0,0.00663839203392956,5423.0,5403.0,-0.003687995574405356,True,down,09:15:00,True,0.0,-102.0,-0.01888014807959278,reversal,0.018785859707569852,0.2589928057553957,5438.5,5381.5,57.0,0.010510787387055135,5423.0,5383.5,-0.007283791259450445,True,down,09:30:00,True,5.0,-123.0,-0.022856081018303446,reversal,0.02247608433175441,0.41007194244604317,5438.5,5370.5,68.0,0.012539184952978056,5423.0,5383.0,-0.007375991148810601,True,up,12:30:00,True,0.0,66.0,0.012135699181759677,weak_trend,0.02257105703139506,0.4892086330935252,WDO,M5,False,largo,largo,largo
2023-01-04,Wednesday,2023,114,5475.0,5462.0,5509.0,5455.5,53.5,-0.002374429223744312,18:25:00,5499.0,5465.5,33.5,0.006118721461187215,5475.0,5477.0,0.00036529680365293693,True,up,09:45:00,True,0.0,-37.0,-0.006728496090198217,reversal,-0.002738725579696899,0.6261682242990654,5499.0,5465.5,33.5,0.006118721461187215,5475.0,5488.5,0.002465753424657491,True,up,09:45:00,True,0.0,-37.0,-0.006728496090198217,reversal,-0.004828277307096673,0.6261682242990654,5500.0,5465.5,34.5,0.006301369863013699,5475.0,5478.5,0.0006392694063925841,True,down,10:25:00,True,20.0,3.5,0.000640380569023877,weak_trend,-0.0030117732956100873,0.6448598130841121,WDO,M5,False,largo,largo,medio
2023-01-05,Thursday,2023,114,5454.0,5381.0,5459.5,5378.0,81.5,-0.013384671800513392,18:25:00,5459.5,5428.0,31.5,0.005775577557755775,5454.0,5428.0,-0.0047671433810048125,True,down,09:15:00,True,80.0,47.0,0.008658806190125276,trend,-0.008658806190125268,0.38650306748466257,5459.5,5406.5,53.0,0.009717638430509717,5454.0,5415.5,-0.0070590392372570365,True,down,09:35:00,True,0.0,25.5,0.004716544899657819,weak_trend,-0.006370602899085975,0.6503067484662577,5459.5,5398.5,61.0,0.011184451778511184,5454.0,5413.5,-0.007425742574257432,True,down,15:05:00,True,10.0,17.5,0.0032416411966286933,weak_trend,-0.0060035097441580865,0.7484662576687117,WDO,M5,False,largo,largo,largo
2023-01-06,Friday,2023,114,5390.0,5259.5,5397.5,5245.0,152.5,-0.024211502782931382,18:25:00,5397.5,5377.5,20.0,0.0037105751391465678,5390.0,5383.0,-0.0012987012987012436,True,down,09:15:00,True,0.0,118.0,0.021943282194328218,trend,-0.022942597064833703,0.13114754098360656,5397.5,5370.0,27.5,0.00510204081632653,5390.0,5375.0,-0.002782931354359919,True,down,09:30:00,True,10.0,110.5,0.02057728119180633,trend,-0.021488372093023234,0.18032786885245902,5397.5,5362.0,35.5,0.006586270871985158,5390.0,5369.5,-0.003803339517625237,True,down,10:05:00,True,0.0,102.5,0.019116001491980603,trend,-0.02048607877828479,0.23278688524590163,WDO,M5,False,medio,largo,medio
2023-01-09,Monday,2023,114,5305.0,5281.0,5334.0,5271.5,62.5,-0.004524033930254467,18:25:00,5321.0,5276.5,44.5,0.008388312912346842,5305.0,5284.5,-0.003864278982092406,True,down,09:25:00,True,0.0,-4.5,-0.0008528380555292334,range,-0.0006623143154508293,0.712,5321.0,5273.0,48.0,0.009048067860508954,5305.0,5284.0,-0.003958529688972701,True,up,11:00:00,True,0.0,-40.0,-0.007517383950385266,range,-0.0005677517032550705,0.768,5321.0,5273.0,48.0,0.009048067860508954,5305.0,5301.5,-0.0006597549481620613,True,up,11:00:00,True,0.0,-40.0,-0.007517383950385266,range,-0.003866830142412514,0.768,WDO,M5,False,largo,largo,largo
