date,year,ret_am_win,ret_pm_win,ret_day_win,z_ret_day_win,is_roll_win,missing_bar13_win,ret_am_wdo,ret_pm_wdo,ret_day_wdo,z_ret_day_wdo,is_roll_wdo,missing_bar13_wdo,div,combo_am,combo_day,excl_am_nan,excl_am_zero,excl_day_nan,excl_day_zero
2021-07-19,2021,-0.0014428857715430565,0.003933531347836583,0.0024849699398796776,,True,False,0.00987415295256544,0.00805214723926384,0.018005808325266326,,False,False,,"(-,+)","(+,+)",False,False,False,False
2021-07-20,2021,-0.0052514322087842125,0.004479283314669624,-0.0007956715467855036,,False,False,-0.003906622201048093,0.0002869714941649004,-0.003620771796093325,,False,False,,"(-,-)","(-,-)",False,False,False,False
2021-07-21,2021,0.0027037773359841477,0.002656832421286337,0.005367793240556695,,False,False,-0.00028634150997419727,-0.00840175673095278,-0.008685692469218242,,False,False,,"(+,-)","(+,-)",False,False,False,False
2021-07-22,2021,-0.0044286279161723785,0.005441258241321689,0.0009885330170027462,,False,False,0.004433307632999206,-0.0004797543657647507,0.003951426368542732,,False,False,,"(-,+)","(+,+)",False,False,False,False
2021-07-23,2021,-0.011150512214342045,-0.003984539984858704,-0.015090622537431098,,False,False,-0.004036520903411778,0.0045353662066969225,0.00048053820278703974,,False,False,,"(-,-)","(-,+)",False,False,False,False
2021-07-26,2021,0.010031172568140123,-0.0011870375499545283,0.00883222763967706,,False,False,-0.0038498556304138454,0.0009661835748793202,-0.002887391722810384,,False,False,,"(+,-)","(+,-)",False,False,False,False
2021-07-27,2021,-0.010209351289079516,0.001484989564938255,-0.008739522504270458,,False,False,-0.006351039260970026,0.0017431725740848503,-0.004618937644341847,,False,False,,"(-,-)","(-,-)",False,False,False,False
2021-07-28,2021,0.004909787641705243,0.0034160873882820297,0.008342647293629213,,False,False,-0.0031893302406494906,-0.007077758386658917,-0.010244515318449832,,False,False,,"(+,-)","(+,-)",False,False,False,False
2021-07-29,2021,-0.003757465490645928,-0.003573130061934271,-0.007317169639678878,,False,False,-0.00687960687960687,0.00544285007422074,-0.0014742014742015197,,False,False,,"(-,-)","(-,-)",False,False,False,False
2021-07-30,2021,-0.007689842999038743,-0.012431385211495005,-0.020025632809996807,,False,False,0.012748847700303934,0.013653529582647428,0.0265764440521723,,True,False,,"(-,+)","(-,+)",False,False,False,False
2021-08-02,2021,0.0018189902582965711,-0.005971594577146577,-0.00416346659121225,,False,False,-0.012380038387715953,0.00874550578175115,-0.00374280230326296,,False,False,,"(+,-)","(-,-)",False,False,False,False
2021-08-03,2021,-0.004382405453660088,0.004483208346918843,8.115565654920331e-05,,False,False,0.012820512820512775,-0.006567050537736763,0.006169269327163995,,False,False,,"(-,+)","(+,+)",False,False,False,False
2021-08-04,2021,-0.014444534610078663,0.0046932894195141905,-0.00981903757201985,,False,False,0.009415833973866361,-0.012278697886921708,-0.0029784780937740507,,False,False,,"(-,+)","(-,-)",False,False,False,False
2021-08-05,2021,-0.004178498985801249,-0.013321383468448245,-0.01744421906693716,,False,False,0.010306271268838207,0.014146857857761486,0.024598930481283476,,False,False,,"(-,+)","(-,+)",False,False,False,False
2021-08-06,2021,0.012878538512179016,-0.00012186700247796001,0.012755102040816313,,False,False,-0.0011430748714040817,0.0010490177379363086,-9.525623928363647e-05,,False,False,,"(+,-)","(+,-)",False,False,False,False
2021-08-09,2021,0.0046122448979590835,-0.0004062893592816641,0.004204081632652956,,False,False,0.011630123927550029,-0.01055408970976257,0.0009532888465204614,,False,False,,"(+,+)","(+,+)",False,False,False,False
2021-08-10,2021,-0.0008516851198442366,-0.005926286734859509,-0.006772924524475754,,False,False,-0.008377760853008343,-0.0005760368663594306,-0.008948971820259,,False,False,,"(-,-)","(-,-)",False,False,False,False
2021-08-11,2021,-0.005174169892035008,0.00032762716029166583,-0.004848237930332067,,False,False,0.0017272814509163847,0.004406552351757798,0.006141445158813985,,False,False,,"(-,+)","(-,+)",False,False,False,False
2021-08-12,2021,-0.008252308195114022,-0.0056022408963585235,-0.013808317673012493,,False,False,0.0033441620485381574,0.0031425578516330877,0.006497229122873982,,False,False,,"(-,+)","(-,+)",False,False,False,False
2021-08-13,2021,0.0,0.0025229547522540585,0.0025229547522540585,,False,False,-0.0013320647002854624,0.0026676829268292845,0.0013320647002854624,,False,False,,zero,"(+,+)",False,True,False,False
2021-08-16,2021,-0.012360016590626244,0.0047875020997816264,-0.007631688096225608,,False,False,-0.00529701097237989,0.0024724229745149984,-0.002837684449489175,,False,False,,"(-,-)","(-,-)",False,False,False,False
2021-08-17,2021,-0.013535599044545932,-0.004672897196261627,-0.0181452457779826,,False,False,-0.00510252291410751,0.008072941399942968,0.00292922611735813,,False,False,,"(-,-)","(-,+)",False,False,False,False
2021-08-18,2021,-0.007527967028345572,-0.00877155811686936,-0.01623349314492384,,True,False,0.01095372993389998,0.008686717728376703,0.019735599622285216,,False,False,,"(-,+)","(-,+)",False,False,False,False
2021-08-19,2021,0.015190972222222321,0.00932022231722951,0.024652777777777857,,False,False,-0.0023035105500782693,0.0013852973771701915,-0.0009214042200312855,,False,False,,"(+,-)","(+,-)",False,False,False,False
2021-08-20,2021,0.007034447476125472,0.0070276448922568235,0.014111527967257897,,False,False,-0.007981651376146814,-0.004254138536946228,-0.012201834862385352,,False,False,,"(+,-)","(+,-)",False,False,False,False
2021-08-23,2021,-0.011148365465213694,0.0007629058235143482,-0.01039396479463539,,False,False,0.0036299329858526796,-0.0008346471297412394,0.002792256142963412,,False,False,,"(-,+)","(-,+)",False,False,False,False
