date,instrument,year,weekday,n_bars_day,is_fixing_eom,eom_offset,is_roll,ret_day,w1000_bar_missing,ret_into_10:00,ret_during_10:00,ret_after_10:00,tr_10:00,volu_10:00,tr_viz_media_10:00,volu_viz_media_10:00,absret_viz_media_10:00,w1100_bar_missing,ret_into_11:00,ret_during_11:00,ret_after_11:00,tr_11:00,volu_11:00,tr_viz_media_11:00,volu_viz_media_11:00,absret_viz_media_11:00,w1200_bar_missing,ret_into_12:00,ret_during_12:00,ret_after_12:00,tr_12:00,volu_12:00,tr_viz_media_12:00,volu_viz_media_12:00,absret_viz_media_12:00,w1300_bar_missing,ret_into_13:00,ret_during_13:00,ret_after_13:00,tr_13:00,volu_13:00,tr_viz_media_13:00,volu_viz_media_13:00,absret_viz_media_13:00,ret_am_prefix,ret_pos_fix
2021-07-19,WDO,2021,Monday,36,False,other,False,0.018005808325266326,False,-0.00019217834150087043,-0.001633829889476246,-0.0026954177897574594,19.0,50119,19.0,49662.5,0.001539914612690929,False,0.0016399768473855936,0.0031782721756716814,-0.0012480798771121737,27.5,77552,19.75,56360.0,0.0012063042304978344,False,0.0012480798771121737,-0.0002876594112570796,0.0007672388990120904,13.5,37502,20.0,40210.0,0.0022085775232798532,False,-0.0014358188953766948,-0.0005751533742330839,0.003548820257049723,9.5,18897,14.75,24412.0,0.0017263703738699676,0.009293320425943774,0.00863226549012075
2021-07-20,WDO,2021,Tuesday,36,False,other,False,-0.003620771796093325,False,0.003326679973386648,0.0017051913603638447,0.001134859088329776,18.0,54974,17.0,49314.5,0.001089053216395519,False,-0.006329113924050667,-0.0005703964255157068,0.002282887853134241,12.5,56434,29.5,63113.0,0.0038779594161297837,False,0.0011430748714040817,-0.0006660323501427312,-0.006188118811881194,11.5,31016,22.0,35960.0,0.002756976992039306,False,-0.0018141888666093342,0.0012435431413813092,-0.0013376648194152185,9.0,23522,13.25,25505.5,0.0008617808532208615,-0.002763220581229131,-0.0008599273839098309
2021-07-21,WDO,2021,Wednesday,36,False,other,False,-0.008685692469218242,False,0.006109785202863982,-0.0016130562671979876,-0.00047523999619802915,12.5,51525,16.0,54920.5,0.0012357053049433242,False,-0.0013318112633181611,0.0022861497428081634,0.0008554319931566301,14.0,44855,15.0,45184.5,0.001568721312288579,False,-0.0016135155656795686,-0.0010457267801121661,-0.004377617053673344,17.0,41420,15.75,44744.5,0.001664403659708824,False,-0.0009538344143457111,-0.0010502195913690837,-0.0018157492354740068,10.5,30260,9.0,22299.0,0.0006690607247900049,-0.0012408132098883362,-0.007454128440366969
2021-07-22,WDO,2021,Thursday,36,False,other,False,0.003951426368542732,False,-9.650646593317713e-05,0.003860631213203458,0.0009614460148061887,24.0,64738,17.25,46196.0,0.00211651349033104,False,0.003272377285851835,0.0009593246354566709,-0.0003833620854897246,20.5,59578,13.0,38643.0,0.0015828507200154052,False,0.0007681228996638811,-0.00028782500239854514,0.00249520153550864,12.5,34497,11.0,26991.0,0.0005754936943667688,False,-0.00038365624400538145,-0.0001919017463059003,-0.0015355086372360605,7.5,22316,14.0,23618.5,0.001580626881764302,0.004240555127216661,-0.0002879078694817405
2021-07-23,WDO,2021,Friday,36,False,other,False,0.00048053820278703974,False,-0.002317273341701287,0.0010645504693700403,-0.0002899951667472145,10.0,37920,10.5,34237.5,0.0007733204446592756,False,0.0024177949709864865,0.000578871201157849,-0.001060752169720347,11.5,35663,12.75,45295.5,0.0014976986670152126,False,-0.003468876469454596,0.0010636240572423628,0.0,15.0,43974,11.75,27874.5,0.0009171095761095205,False,0.0009659036028204504,-0.0006754800733378419,0.0004827652795211801,7.5,12478,6.75,11700.5,0.0007244044116538895,-0.004613166746756381,0.005117311962923532
2021-07-26,WDO,2021,Monday,36,False,other,False,-0.002887391722810384,False,0.0028799078429491143,-0.0015315401550684005,-0.005655674846625769,14.0,38658,14.5,43150.5,0.0005749283964627816,False,-0.0067069081153587895,0.0,-0.0024114980225715676,10.0,43821,10.0,35891.0,0.00043390225964407003,False,-0.0011578541103820505,0.00019319938176187712,-0.0005795421616923147,6.5,19743,11.0,26141.5,0.001111354190313496,False,-0.001543507621068918,-0.0007729468599033673,-0.0013537033455811587,8.0,21724,7.5,15746.0,0.000483395392788466,-0.004619826756496637,0.0017404757300327756
2021-07-27,WDO,2021,Tuesday,36,False,D-3,False,-0.004618937644341847,False,0.0029928557636609288,-0.0019251131003946709,0.0005786478927571892,19.5,51328,18.25,52257.0,0.0017355253785902303,False,-0.0011596443757247998,-0.00029024767801855145,0.0006774412077807934,10.0,38551,17.75,45790.5,0.0019279067299877717,False,-0.0002902757619738239,-0.002226093689508324,0.0032010864293336994,12.5,37628,12.25,30340.5,0.0009205070103623925,False,0.0005813953488371659,0.0007747433662599335,0.00048383975227395126,8.0,19778,8.75,16866.5,0.0009670432426421849,-0.005581216320246329,0.0009676795045481246
2021-07-28,WDO,2021,Wednesday,36,False,D-2,False,-0.010244515318449832,False,0.00203547542890381,-0.0007738440704198046,-0.0017424975798644438,10.5,43427,13.5,46200.0,0.0005323548747721563,False,-0.0046498111014240395,0.0009732360097323145,0.00291658565039854,15.5,47077,15.5,47279.0,0.0019398556595563998,False,0.005738183232834038,-0.0005802146794313678,0.00048383975227395126,11.5,39729,13.0,38199.5,0.0013084779155576043,False,-0.0017421602787456303,-9.695559433775536e-05,0.002327385570209506,8.0,21902,15.0,18828.0,0.0023243466200984497,-0.003382622982507022,-0.006885182311869631
2021-07-29,WDO,2021,Thursday,36,False,D-1,False,-0.0014742014742015197,False,-0.0022588882341386674,-0.00039373954129340305,-9.848335631279515e-05,10.5,43485,12.25,35450.5,0.0007386930785214796,False,0.0010824640818736242,-0.003145581441069467,0.0006902672320283632,20.5,55160,15.0,43693.5,0.0015272833875605296,False,-0.0006910167818361401,-0.0015805591227896487,-0.0005936479667557615,10.5,38217,10.0,22566.5,0.0012814403423768161,False,9.897070467146385e-05,-0.0010885700148440813,0.002179728524720037,10.0,19584,8.75,15914.0,0.0002970787673056696,-0.008058968058968108,0.006638264143465689
2021-07-30,WDO,2021,Friday,36,True,D0,True,0.0265764440521723,False,-0.0020426028596439716,-0.0005847953216374657,-0.0019504583577140133,9.0,23299,15.5,40631.0,0.0012680596048960657,False,-0.0017579841781424355,0.0016632423441933497,0.00840007814026178,15.0,34046,20.5,38548.5,0.0024421313294690217,False,0.006130790190735702,-9.672115291614602e-05,0.0002901915264075239,10.0,30759,16.0,35885.5,0.0007747622794339604,False,-0.001257253384913004,9.683354313927417e-05,0.0029047250193647844,9.5,17787,10.75,16544.0,0.0011126258789080357,0.012846915759537225,0.01355538342370255
