date,instrument,year,weekday,n_bars_day,is_fixing_eom,eom_offset,is_roll,ret_day,w1000_bar_missing,ret_into_10:00,ret_during_10:00,ret_after_10:00,tr_10:00,volu_10:00,tr_viz_media_10:00,volu_viz_media_10:00,absret_viz_media_10:00,w1100_bar_missing,ret_into_11:00,ret_during_11:00,ret_after_11:00,tr_11:00,volu_11:00,tr_viz_media_11:00,volu_viz_media_11:00,absret_viz_media_11:00,w1200_bar_missing,ret_into_12:00,ret_during_12:00,ret_after_12:00,tr_12:00,volu_12:00,tr_viz_media_12:00,volu_viz_media_12:00,absret_viz_media_12:00,w1300_bar_missing,ret_into_13:00,ret_during_13:00,ret_after_13:00,tr_13:00,volu_13:00,tr_viz_media_13:00,volu_viz_media_13:00,absret_viz_media_13:00,ret_am_prefix,ret_pos_fix
2021-07-19,WIN,2021,Monday,36,False,other,True,0.0024849699398796776,False,0.000884493225586036,0.0006426993372163903,0.0036530046967202523,355.0,202992,305.0,158829.5,0.0008630596471285723,False,0.0003207827098119509,-0.0028460335912133816,0.0016883064678216986,540.0,263430,490.0,244233.5,0.001361197531821401,False,-0.002131510154836147,0.001491213928744184,0.001529175050301701,470.0,176711,527.5,160939.0,0.0021470118515983794,False,0.002535109251136758,-0.0008830376495143621,-0.004820825968182563,365.0,124565,362.5,118666.5,0.0013860714028738341,-0.0023246492985972145,0.004820825968182563
2021-07-20,WIN,2021,Tuesday,36,False,other,False,-0.0007956715467855036,False,-0.0033546325878593963,-0.004928674467062022,-0.00044295896589219286,750.0,280710,307.5,188829.5,0.00046177745242820256,False,0.00591692159072621,0.00016005762074344787,0.0010802592622229934,350.0,250055,750.0,241307.0,0.005324837706436769,False,-0.0019131890469926693,-0.0005590831037098898,0.00035961161945108344,265.0,129141,367.5,146671.0,0.001478499140356082,False,0.0012413406478997135,-0.0006398976163813908,0.0029214022730910116,255.0,112384,310.0,132248.5,0.0007991949252752484,-0.005887969446212615,0.005122458780214556
2021-07-21,WIN,2021,Wednesday,36,False,other,False,0.005367793240556695,False,-0.002142517060784055,0.0007554671968190707,0.0019071079502561705,295.0,199125,310.0,189318.5,0.0009734465210274879,False,0.0032936507936507375,-0.0019380611478068133,-0.0031702001188824713,360.0,147300,460.0,184662.0,0.002873941447989692,False,0.00047698545194374553,0.0017481128327374584,-0.0022606488458792873,325.0,168768,347.5,162033.5,0.0012302198645702256,False,0.0019866497139224837,0.00031723372194458754,-0.00031713311662573407,210.0,87064,307.5,101258.0,0.0012718486739398127,0.003021868787276283,0.0023388567351145806
2021-07-22,WIN,2021,Thursday,36,False,other,False,0.0009885330170027462,False,-0.001463202436034372,0.0003960396039603964,-0.0008709766815788722,335.0,204220,280.0,154824.5,0.000693664480483025,False,-0.0034434989115377235,0.0005163237747238814,-0.0009923785328675994,275.0,169751,362.5,177517.0,0.0017048384490639945,False,-0.0022204599524187074,0.0017485296455252985,-0.0018644135031139486,320.0,127069,220.0,105383.5,0.00037694883883149233,False,-0.0005954034850950141,0.0007546270553657752,0.0007540879504683851,155.0,76623,252.5,94495.0,0.0010918721206347737,-0.0037168841439304545,0.004722971900301687
2021-07-23,WIN,2021,Friday,36,False,other,False,-0.015090622537431098,False,-0.00027636306210276906,-0.0012242318932154106,-0.0024119251907793737,260.0,149261,225.0,120332.0,0.001304724452324546,False,-0.0030490219371188676,-0.0006355006553599996,0.00027819728161504464,200.0,134835,357.5,159982.5,0.001427890354135819,False,0.00043685464654497075,-0.004446032313127679,0.0004386139798238098,865.0,194782,262.5,114685.0,0.0011747145380008872,False,-0.0007564898869246717,0.00047814479818297784,-0.001593117731400362,160.0,63951,150.0,57536.0,0.0003187235526740939,-0.010717100078802222,-0.004420901704635938
2021-07-26,WIN,2021,Monday,36,False,other,False,0.00883222763967706,False,0.0009185303514376297,0.0014762797749670042,0.005338645418326626,365.0,198250,225.0,118208.5,0.0011765319901001492,False,0.004655048937693973,-0.0002376143519068341,-0.000514933058702316,180.0,122129,175.0,107742.0,0.0005547128234081877,False,0.0020210025757876338,-0.00039547575733611673,0.0009099541066623917,135.0,81270,225.0,95620.5,0.0013469361891529363,False,-0.000711715630066001,-0.0004748150199818113,-7.917342939711691e-05,185.0,77639,212.5,61556.0,0.0007711679480821854,0.009551594596754809,-0.0007125608645738302
2021-07-27,WIN,2021,Tuesday,36,False,D-3,False,-0.008739522504270458,False,0.0001990762860328843,-0.0015922933004259843,-0.0026713448427095887,480.0,244277,237.5,153867.0,0.0013154224807420123,False,0.00039942482824728565,-0.0011179429849077493,-0.00015988488288432023,315.0,177694,342.5,180183.0,0.0009194403456391775,False,0.0003195909236177741,0.0005990415335463961,-0.006106321839080442,180.0,120647,540.0,156367.5,0.0029542555785618263,False,-0.0006818272971563788,-0.002127147214641245,0.0006033061175241272,310.0,133259,145.0,78447.0,0.0004621470702214081,-0.012314781710562883,0.003619836705144097
2021-07-28,WIN,2021,Wednesday,36,False,D-2,False,0.008342647293629213,False,-0.0005570587299060792,0.0011147384345886469,0.0007158196134573469,235.0,163352,282.5,153962.5,0.0011927323283985602,False,0.002821042593769807,-0.0030508340267046963,-0.004212869122848906,535.0,163852,455.0,193258.5,0.0028017777245583075,False,3.9850163385590776e-05,0.001793185893604221,-0.0010739429616960505,295.0,119567,317.5,130206.0,0.0008977512905837814,False,0.0015117157974300355,0.0009136047666336022,0.00023811413604257758,255.0,86830,375.0,109376.5,0.001472419033750838,0.0058278780137315245,0.0025001984284467316
2021-07-29,WIN,2021,Thursday,36,False,D-1,False,-0.007317169639678878,False,-0.002559760563934921,-0.0011054958938724324,-0.004268774703557354,320.0,236164,227.5,130897.5,0.0010857780463122135,False,-0.0064102564102563875,0.0010354440461968206,-0.0007559180425701362,395.0,180287,475.0,177089.0,0.003000043809159303,False,0.0004787170383373507,0.0006778579688184738,0.002789177989401148,220.0,112939,350.0,123452.0,0.0016131961263113337,False,0.0018296078275394922,-0.0011513419088454713,-0.0009539329862077173,225.0,88136,240.0,103286.0,0.0011326627567018743,-0.004904481272000938,-0.0024245796732779157
2021-07-30,WIN,2021,Friday,36,True,D0,False,-0.020025632809996807,False,0.002168587606923511,-0.0006411540773392232,0.002566261678495607,525.0,219732,447.5,172227.0,0.0016408240825727671,False,0.0004806921967632771,-0.0010409993593850642,-0.005851937953424979,295.0,163836,480.0,191308.5,0.002864720965537526,False,-0.002013530927835072,-0.0006052780243724909,0.0001615052287318175,230.0,131421,337.5,122595.0,0.0007665344978429189,False,-0.00032278889606196515,0.0010090410074266032,-0.005564516129032304,235.0,79891,277.5,72817.5,0.0011493351682053121,-0.006728612624158914,-0.013387096774193585
2021-08-02,WIN,2021,Monday,36,False,other,False,-0.00416346659121225,False,0.0016206798752076423,0.0007685773229237913,0.00557801131770419,265.0,207535,257.5,134915.5,0.001395141019986168,False,0.005688006777199606,-0.00016044925792213505,-0.000682046138415271,205.0,151272,270.0,150085.5,0.0013059203335546998,False,-0.001806213374006549,0.0013671639390406831,-0.0007629909244237787,295.0,134928,407.5,147498.0,0.001184460009526045,False,-0.005537276302062466,0.0009280180761781498,0.004031282754172416,390.0,163183,435.0,127985.0,0.002150561280829577,0.0027082743845749935,-0.006853180682093063
