root,ticker,contract_year,contract_month,nominal_expiry,expiry_caveat
WDO,WDOV20,2020,10,2020-10-01,move to next B3 session if nominal date is not a session
WIN,WINV20,2020,10,2020-10-14,move to next B3 session if nominal date is not a session
WDO,WDOX20,2020,11,2020-11-02,move to next B3 session if nominal date is not a session
WDO,WDOZ20,2020,12,2020-12-01,move to next B3 session if nominal date is not a session
WIN,WINZ20,2020,12,2020-12-16,move to next B3 session if nominal date is not a session
WDO,WDOF21,2021,1,2021-01-01,move to next B3 session if nominal date is not a session
WDO,WDOG21,2021,2,2021-02-01,move to next B3 session if nominal date is not a session
WIN,WING21,2021,2,2021-02-17,move to next B3 session if nominal date is not a session
WDO,WDOH21,2021,3,2021-03-01,move to next B3 session if nominal date is not a session
WDO,WDOJ21,2021,4,2021-04-01,move to next B3 session if nominal date is not a session
WIN,WINJ21,2021,4,2021-04-14,move to next B3 session if nominal date is not a session
WDO,WDOK21,2021,5,2021-05-03,move to next B3 session if nominal date is not a session
WDO,WDOM21,2021,6,2021-06-01,move to next B3 session if nominal date is not a session
WIN,WINM21,2021,6,2021-06-16,move to next B3 session if nominal date is not a session
WDO,WDON21,2021,7,2021-07-01,move to next B3 session if nominal date is not a session
WDO,WDOQ21,2021,8,2021-08-02,move to next B3 session if nominal date is not a session
WIN,WINQ21,2021,8,2021-08-18,move to next B3 session if nominal date is not a session
WDO,WDOU21,2021,9,2021-09-01,move to next B3 session if nominal date is not a session
WDO,WDOV21,2021,10,2021-10-01,move to next B3 session if nominal date is not a session
WIN,WINV21,2021,10,2021-10-13,move to next B3 session if nominal date is not a session
WDO,WDOX21,2021,11,2021-11-01,move to next B3 session if nominal date is not a session
WDO,WDOZ21,2021,12,2021-12-01,move to next B3 session if nominal date is not a session
WIN,WINZ21,2021,12,2021-12-15,move to next B3 session if nominal date is not a session
WDO,WDOF22,2022,1,2022-01-03,move to next B3 session if nominal date is not a session
WDO,WDOG22,2022,2,2022-02-01,move to next B3 session if nominal date is not a session
WIN,WING22,2022,2,2022-02-16,move to next B3 session if nominal date is not a session
WDO,WDOH22,2022,3,2022-03-01,move to next B3 session if nominal date is not a session
WDO,WDOJ22,2022,4,2022-04-01,move to next B3 session if nominal date is not a session
WIN,WINJ22,2022,4,2022-04-13,move to next B3 session if nominal date is not a session
WDO,WDOK22,2022,5,2022-05-02,move to next B3 session if nominal date is not a session
WDO,WDOM22,2022,6,2022-06-01,move to next B3 session if nominal date is not a session
WIN,WINM22,2022,6,2022-06-15,move to next B3 session if nominal date is not a session
WDO,WDON22,2022,7,2022-07-01,move to next B3 session if nominal date is not a session
WDO,WDOQ22,2022,8,2022-08-01,move to next B3 session if nominal date is not a session
WIN,WINQ22,2022,8,2022-08-17,move to next B3 session if nominal date is not a session
WDO,WDOU22,2022,9,2022-09-01,move to next B3 session if nominal date is not a session
WDO,WDOV22,2022,10,2022-10-03,move to next B3 session if nominal date is not a session
WIN,WINV22,2022,10,2022-10-12,move to next B3 session if nominal date is not a session
WDO,WDOX22,2022,11,2022-11-01,move to next B3 session if nominal date is not a session
WDO,WDOZ22,2022,12,2022-12-01,move to next B3 session if nominal date is not a session
WIN,WINZ22,2022,12,2022-12-14,move to next B3 session if nominal date is not a session
WDO,WDOF23,2023,1,2023-01-02,move to next B3 session if nominal date is not a session
WDO,WDOG23,2023,2,2023-02-01,move to next B3 session if nominal date is not a session
WIN,WING23,2023,2,2023-02-15,move to next B3 session if nominal date is not a session
WDO,WDOH23,2023,3,2023-03-01,move to next B3 session if nominal date is not a session
WDO,WDOJ23,2023,4,2023-04-03,move to next B3 session if nominal date is not a session
WIN,WINJ23,2023,4,2023-04-12,move to next B3 session if nominal date is not a session
WDO,WDOK23,2023,5,2023-05-01,move to next B3 session if nominal date is not a session
WDO,WDOM23,2023,6,2023-06-01,move to next B3 session if nominal date is not a session
WIN,WINM23,2023,6,2023-06-14,move to next B3 session if nominal date is not a session
WDO,WDON23,2023,7,2023-07-03,move to next B3 session if nominal date is not a session
WDO,WDOQ23,2023,8,2023-08-01,move to next B3 session if nominal date is not a session
WIN,WINQ23,2023,8,2023-08-16,move to next B3 session if nominal date is not a session
WDO,WDOU23,2023,9,2023-09-01,move to next B3 session if nominal date is not a session
WDO,WDOV23,2023,10,2023-10-02,move to next B3 session if nominal date is not a session
WIN,WINV23,2023,10,2023-10-18,move to next B3 session if nominal date is not a session
WDO,WDOX23,2023,11,2023-11-01,move to next B3 session if nominal date is not a session
WDO,WDOZ23,2023,12,2023-12-01,move to next B3 session if nominal date is not a session
WIN,WINZ23,2023,12,2023-12-13,move to next B3 session if nominal date is not a session
WDO,WDOF24,2024,1,2024-01-01,move to next B3 session if nominal date is not a session
WDO,WDOG24,2024,2,2024-02-01,move to next B3 session if nominal date is not a session
WIN,WING24,2024,2,2024-02-14,move to next B3 session if nominal date is not a session
WDO,WDOH24,2024,3,2024-03-01,move to next B3 session if nominal date is not a session
