entry_ts,exit_ts,side,entry_px,exit_px,bars_held,gross_ret_pct,net_ret_pct,notional_usd,pnl_usd,equity_after,leverage,stake_pct
2026-04-19T15:00:00+00:00,2026-04-19T16:00:00+00:00,short,86.32,85.465892,0,0.9895,0.8895,1500.0,13.342,1013.342,5.0,0.3
2026-04-21T04:00:00+00:00,2026-04-21T05:00:00+00:00,long,85.39,85.510127,0,0.1407,0.0407,1520.01,0.6183,1013.9603,5.0,0.3
2026-04-24T02:00:00+00:00,2026-04-24T03:00:00+00:00,short,85.83,85.804557,0,0.0296,-0.0704,1520.94,-1.0701,1012.8903,5.0,0.3
2026-04-26T03:00:00+00:00,2026-04-26T04:00:00+00:00,short,85.94,85.970688,0,-0.0357,-0.1357,1519.34,-2.0619,1010.8284,5.0,0.3
2026-04-26T14:00:00+00:00,2026-04-26T15:00:00+00:00,long,86.35,86.354891,0,0.0057,-0.0943,1516.24,-1.4304,1009.398,5.0,0.3
2026-04-29T02:00:00+00:00,2026-04-29T03:00:00+00:00,short,84.0,83.769921,0,0.2739,0.1739,1514.1,2.6331,1012.0311,5.0,0.3
2026-04-30T16:00:00+00:00,2026-04-30T17:00:00+00:00,short,82.97,83.083864,0,-0.1372,-0.2372,1518.05,-3.6013,1008.4297,5.0,0.3
2026-05-02T11:00:00+00:00,2026-05-02T12:00:00+00:00,short,83.64,83.770951,0,-0.1566,-0.2566,1512.64,-3.8809,1004.5488,5.0,0.3
2026-05-03T10:00:00+00:00,2026-05-03T11:00:00+00:00,short,83.77,83.82331,0,-0.0636,-0.1636,1506.82,-2.4657,1002.0831,5.0,0.3
2026-05-04T01:00:00+00:00,2026-05-04T06:00:00+00:00,long,84.73,84.528281,4,-0.2381,-0.3381,1503.12,-5.0817,997.0014,5.0,0.3
2026-05-04T19:00:00+00:00,2026-05-05T01:00:00+00:00,short,84.43,84.4054,5,0.0291,-0.0709,1495.5,-1.0598,995.9417,5.0,0.3
2026-05-07T04:00:00+00:00,2026-05-07T05:00:00+00:00,long,88.33,88.631569,0,0.3414,0.2414,1493.91,3.6065,999.5482,5.0,0.3
