date,iv7,iv30,slope,dvol
2022-01-01,0.706611,0.71684,0.010229,0.7364
2022-01-02,0.664286,0.67807,0.013785,0.7082
2022-01-05,0.682283,0.672105,-0.010177,0.7216
2022-01-06,0.701621,0.697964,-0.003657,0.7535
2022-01-07,0.677405,0.681944,0.004538,0.7393
2022-01-08,0.640783,0.67183,0.031047,0.7252
2022-01-14,0.589428,0.595893,0.006466,0.6657
2022-01-15,0.581254,0.547047,-0.034207,0.6488
2022-01-16,0.584397,0.590884,0.006487,0.6226
2022-01-19,0.570738,0.622417,0.051679,0.6743
2022-01-20,0.547408,0.61728,0.069872,0.6493
2022-01-21,0.63968,0.626127,-0.013553,0.6508
2022-01-22,0.776526,0.727693,-0.048833,0.776
2022-01-23,0.771522,0.700579,-0.070943,0.7765
2022-01-26,0.825009,1.124428,0.299419,0.7975
2022-01-27,0.713765,0.973632,0.259867,0.8206
2022-01-28,0.651928,0.683187,0.031259,0.7748
2022-01-29,0.665844,0.72364,0.057796,0.7348
2022-01-30,0.835231,0.949025,0.113794,0.7367
2022-02-02,0.662765,0.866877,0.204112,0.7172
2022-02-03,0.643641,0.653498,0.009857,0.7358
2022-02-04,0.606272,0.729338,0.123066,0.7116
2022-02-05,1.589525,1.560769,-0.028756,0.6505
2022-02-11,0.601471,0.610857,0.009386,0.6916
2022-02-12,0.644775,0.637808,-0.006967,0.7225
2022-02-13,0.687518,1.603921,0.916403,0.7114
2022-02-16,0.621936,1.375487,0.753551,0.7059
2022-02-17,0.562102,1.463222,0.90112,0.6541
2022-02-18,0.550731,1.439102,0.888371,0.6838
2022-02-19,0.554964,1.257107,0.702143,0.6799
2022-02-20,0.683709,1.281559,0.59785,0.7146
2022-02-23,0.64335,0.991497,0.348147,0.7243
2022-02-24,0.898717,0.753291,-0.145426,0.8541
2022-02-25,1.356282,1.167691,-0.188591,0.7482
2022-02-26,1.644629,1.119157,-0.525473,0.7055
2022-02-27,1.412298,1.39482,-0.017478,0.7298
2022-03-02,0.720282,1.467656,0.747375,0.7538
2022-03-03,0.721806,1.249274,0.527468,0.7358
2022-03-04,0.694025,1.115573,0.421548,0.7426
2022-03-05,0.801185,0.998092,0.196908,0.7773
2022-03-11,0.722276,0.734227,0.011951,0.7838
2022-03-12,0.83099,0.72614,-0.10485,0.7931
2022-03-18,0.692366,0.705477,0.013111,0.7415
2022-03-19,0.704323,0.651993,-0.05233,0.7039
2022-03-20,0.660425,0.746421,0.085996,0.7188
2022-03-23,0.62474,0.685126,0.060387,0.704
2022-03-24,0.602467,0.708772,0.106305,0.6831
2022-03-25,0.6474,0.684705,0.037305,0.6544
2022-03-26,0.695737,0.621743,-0.073993,0.6198
2022-03-27,0.759192,0.683912,-0.07528,0.6625
2022-03-30,0.536267,0.847279,0.311011,0.6098
2022-03-31,0.529372,0.78547,0.256098,0.6257
2022-04-01,0.608001,0.621874,0.013873,0.6178
2022-04-02,0.5055,0.577689,0.072189,0.5947
2022-04-03,0.546889,0.574991,0.028102,0.5879
2022-04-06,0.569534,0.605657,0.036123,0.6346
2022-04-07,0.573165,0.604534,0.031368,0.6402
2022-04-08,0.509879,0.550918,0.041039,0.5998
2022-04-09,0.500641,0.55468,0.054038,0.5978
2022-04-15,0.479198,0.529457,0.050259,0.6074
2022-04-16,0.491428,0.532942,0.041514,0.602
2022-04-17,0.475007,0.593495,0.118489,0.6163
2022-04-20,0.67497,0.605761,-0.069209,0.6223
2022-04-21,0.520107,0.673923,0.153816,0.6146
2022-04-22,0.509339,0.596927,0.087588,0.6141
2022-04-23,0.609595,0.563699,-0.045897,0.6039
2022-04-24,0.619101,0.561278,-0.057824,0.6154
2022-04-27,0.673994,0.612459,-0.061535,0.6577
2022-04-28,0.665293,0.585446,-0.079847,0.6431
2022-04-29,0.534042,0.556834,0.022791,0.595
2022-04-30,0.495969,0.535131,0.039162,0.5937
2022-05-01,0.545963,0.572498,0.026535,0.5958
2022-05-04,0.595379,0.58979,-0.005589,0.6395
2022-05-05,0.505941,0.588497,0.082556,0.5893
2022-05-06,0.764377,0.572836,-0.191541,0.623
2022-05-07,0.653333,0.557047,-0.096286,0.629
2022-05-13,0.813779,0.774677,-0.039103,0.9381
2022-05-14,0.760818,0.782582,0.021764,0.966
2022-05-15,0.765066,1.357735,0.592669,0.9537
2022-05-18,0.705111,1.448645,0.743534,0.9141
2022-05-19,0.775673,1.233249,0.457576,0.9805
2022-05-20,1.021503,1.168017,0.146514,0.8452
2022-05-21,0.763479,1.001548,0.238069,0.856
2022-05-22,0.77977,1.175772,0.396002,0.8413
2022-05-25,0.710116,1.14104,0.430924,0.8234
2022-05-26,0.669371,1.144639,0.475268,0.8093
2022-05-27,0.708635,0.821598,0.112963,0.8199
2022-05-28,0.70296,0.838331,0.135371,0.8326
2022-05-29,0.654117,1.0585,0.404383,0.8114
2022-06-01,1.200867,1.307033,0.106166,0.7261
2022-06-02,0.641305,0.657755,0.01645,0.7297
2022-06-03,0.805065,0.771595,-0.03347,0.7167
2022-06-04,0.576554,0.621623,0.045069,0.7048
2022-06-10,0.662536,0.664267,0.001731,0.7245
